source,target,sign
X808,X7220,-1
X857,X7220,1
X1813,X7220,1
X2288,X7220,-1
X4188,X7220,-1
X3709,X7220,1
X4082,X7220,-1
X2911,X7220,1
X6786,X7220,1
X7220,X7222,1
X7222,X7220,1
X7220,X7223,1
X7223,X7220,1
X7220,X7224,1
X7224,X7220,1
X7220,X7225,-1
X7220,X5311,1
X5311,X7220,1
X7220,X59341,1
X59341,X7220,1
X7220,X55503,-1
X808,X7222,-1
X846,X7222,1
X2057,X7222,1
X9456,X7222,1
X3708,X7222,1
X3710,X7222,1
X444,X7222,1
X84876,X7222,1
X5592,X7222,-1
X11237,X7222,-1
X6714,X7222,1
X54795,X7222,-1
X5311,X7222,1
X65266,X7222,-1
X9368,X7223,1
X2035,X7223,1
X11237,X7223,-1
X9478,X7224,-1
X23413,X7224,1
X91404,X7224,1
X7224,X7225,-1
X808,X7225,1
X2534,X7225,1
X1128,X7225,1
X4599,X7225,1
X4868,X7225,1
X5592,X7225,-1
X7827,X7225,1
X11237,X7225,-1
X11267,X7225,1
X5311,X57113,1
X9495,X7442,1
X808,X7442,1
X1268,X7442,-1
X1020,X7442,1
X11124,X7442,-1
X11337,X7442,1
X23303,X7442,1
X644139,X7442,1
X5566,X7442,1
X6714,X7442,1
X4914,X7442,1
X55974,X51393,1
X1956,X162514,1
X9495,X59341,1
X808,X59341,1
X2534,X59341,1
X3055,X59341,1
X3710,X59341,1
X83737,X59341,1
X3932,X59341,1
X4067,X59341,1
X9053,X59341,1
X10956,X59341,-1
X29763,X59341,1
X6714,X59341,1
X5311,X59341,1
X7525,X59341,1
X54836,X56302,-1
X793,X56302,1
X808,X56302,-1
X5479,X56302,1
X2288,X56302,-1
X9365,X56302,1
X8766,X56302,1
X6281,X56302,1
X7052,X56302,-1
X55283,X56302,1
X56302,X55283,1
X55503,X56302,1
X56302,X55503,1
X808,X55503,-1
X5479,X55503,1
X2534,X55503,1
X9365,X55503,1
X79849,X55503,1
X8508,X55503,-1
X8650,X55503,-1
X5770,X55503,-1
X8766,X55503,1
X5997,X55503,-1
X6281,X55503,1
X6714,X55503,1
X60506,X4308,1
X808,X7226,1
X114327,X7226,1
X5783,X7226,-1
X808,X54795,1
X10399,X140803,-1
X11331,X140803,-1
X140803,X54822,1
X54822,X301,1
X10399,X54822,-1
X3351,X79054,1
X4988,X79054,-1
X5566,X57192,-1
X255231,X57192,1
X57192,X255231,1
X57192,X55283,1
X255231,X55283,1
X5589,X5311,-1
X11127,X5311,1
X5310,X5311,1
X6811,X5311,-1
X5310,X9033,1
X342372,X9033,1
X7135,X9033,-1
X7137,X9033,-1
X10399,X27039,-1
X836,X8669,-1
X836,X3691,1
X1432,X9261,1
X9261,X10949,1
X7072,X1647,-1
X3184,X1647,-1
X9261,X5073,-1
X10949,X1647,1
X3717,X2057,1
