source,target,sign
XMetab__115348___c____,X4544,1
XMetab__124007___c____,X3350,1
XMetab__1003___c____,X3612,-1
XMetab__4585___c____,X1815,-1
XMetab__5405___c____,X3757,-1
XMetab__65999___c____,X5468,1
XMetab__51767___c____,X1814,-1
XMetab__5328940___c____,X5605,-1
XMetab__3854666___c____,X3579,-1
XMetab__115111___c____,X3350,-1
XMetab__1983___c____,X5743,-1
XMetab__3749___c____,X185,-1
XMetab__3749___c____,X185,-1
XMetab__25074886___c____,X2798,-1
XMetab__1979___c____,X1128,1
XMetab__4205___c____,X3269,-1
XMetab__129927___c____,X3360,-1
XMetab__1023___c____,X10423,-1
XMetab__2801___c____,X6530,-1
XMetab__5280450___c____,X51129,1
XMetab__4740___c____,X3383,-1
XMetab__3854666___c____,X3579,-1
XMetab__4205___c____,X152,-1
XMetab__27991___c____,X554,1
XMetab__27991___c____,X554,1
XMetab__51767___c____,X1813,-1
XMetab__271___c____,X5837,1
XMetab__271___c____,X5837,1
XMetab__445643___c____,X4773,-1
XMetab__444030___c____,X1131,-1
XMetab__4926___c____,X3269,-1
XMetab__3345___c____,X4986,1
XMetab__761___c____,X5471,1
XMetab__3054___c____,X3315,1
XMetab__985___c____,X2180,1
XMetab__4705___c____,X1956,-1
XMetab__2729___c____,X1129,-1
XMetab__271___c____,X5333,1
XMetab__271___c____,X5333,1
XMetab__1229___c____,X3358,1
XMetab__4058___c____,X4986,1
XMetab__3909___c____,X10800,1
XMetab__4739___c____,X100,-1
XMetab__4739___c____,X100,-1
XMetab__119___c____,X9568,1
XMetab__2514___c____,X23236,1
XMetab__91695___c____,X3930,-1
XMetab__4976___c____,X6532,-1
XMetab__4893___c____,X148,-1
XMetab__888___c____,X5160,1
XMetab__2561___c____,X3290,-1
XMetab__271___c____,X3000,-1
XMetab__801___c____,X883,-1
XMetab__2550___c____,X183,-1
XMetab__4946___c____,X154,1
XMetab__4946___c____,X154,-1
XMetab__236666___c____,X367,1
