source,target,sign
XMetab__985___c____,X4846,1
XMetab__4782___c____,X146,1
XMetab__45142457___c____,X4233,-1
XMetab__4369524___c____,X5241,-1
XMetab__5206___c____,X2890,-1
XMetab__6918486___c____,X4804,-1
XMetab__231___c____,X376497,1
XMetab__5281078___c____,X3615,-1
XMetab__16886___c____,X1457,1
XMetab__23994___c____,X5770,-1
XMetab__5584___c____,X3358,-1
XMetab__4624___c____,X836,1
XMetab__208898___c____,X3776,-1
XMetab__107712___c____,X836,1
XMetab__2333___c____,X1645,-1
XMetab__3333___c____,X783,-1
XMetab__3000322___c____,X6476,-1
XMetab__5281607___c____,X5970,1
XMetab__60853___c____,X1131,-1
XMetab__19001___c____,X7298,-1
XMetab__47936___c____,X108,1
XMetab__4585___c____,X1815,-1
XMetab__15625___c____,X43,-1
XMetab__5405___c____,X3757,-1
XMetab__6918852___c____,X1019,-1
XMetab__40839___c____,X81027,-1
XMetab__1983___c____,X9356,-1
XMetab__65999___c____,X5468,1
XMetab__14888___c____,X2932,1
XMetab__71482___c____,X43,-1
XMetab__51767___c____,X1814,-1
XMetab__5328940___c____,X5605,-1
XMetab__702___c____,X2741,1
XMetab__3854666___c____,X3579,-1
XMetab__445154___c____,X835,1
XMetab__3007___c____,X6532,1
XMetab__1152___c____,X762,-1
XMetab__5281672___c____,X23411,1
XMetab__115111___c____,X3350,-1
XMetab__114835___c____,X2876,1
XMetab__1983___c____,X5743,-1
XMetab__3749___c____,X185,-1
XMetab__2165___c____,X1557,-1
XMetab__2088___c____,X5791,-1
XMetab__442108___c____,X6331,-1
XMetab__62275___c____,X2099,-1
XMetab__25074886___c____,X2798,-1
XMetab__56928089___c____,X5879,1
XMetab__4205___c____,X3269,-1
XMetab__3954___c____,X773,-1
XMetab__6830___c____,X84790,1
XMetab__6830___c____,X7846,1
XMetab__219100___c____,X56848,-1
XMetab__516896___c____,X768,-1
XMetab__3606___c____,X6783,-1
XMetab__71329___c____,X3776,-1
XMetab__450___c____,X836,1
XMetab__450___c____,X836,-1
XMetab__871___c____,X1147,1
XMetab__3652___c____,X51284,-1
XMetab__2801___c____,X6530,-1
XMetab__5280450___c____,X51129,1
XMetab__5032___c____,X6530,-1
XMetab__4149241___c____,X2053,-1
XMetab__4740___c____,X3383,-1
XMetab__2126___c____,X3659,1
XMetab__444795___c____,X5604,1
XMetab__3854666___c____,X3579,-1
XMetab__2146___c____,X26,-1
XMetab__39507___c____,X2908,1
XMetab__5280453___c____,X1445,1
XMetab__5957___c____,X5599,1
XMetab__5957___c____,X5599,-1
XMetab__768___c____,X847,-1
XMetab__5793___c____,X1050,1
XMetab__27991___c____,X554,1
XMetab__51767___c____,X1813,-1
XMetab__4369524___c____,X5241,-1
XMetab__6537___c____,X2908,-1
XMetab__122149___c____,X1910,-1
XMetab__784___c____,X2308,1
XMetab__2995___c____,X1571,-1
XMetab__1103___c____,X4843,1
XMetab__1662___c____,X3156,-1
XMetab__2514___c____,X999,1
XMetab__9928284___c____,X1128,1
XMetab__449381___c____,X64146,-1
XMetab__271___c____,X5837,1
XMetab__784___c____,X1543,-1
XMetab__445643___c____,X4773,-1
XMetab__444030___c____,X1131,-1
XMetab__54454___c____,X4790,1
XMetab__54454___c____,X4790,-1
XMetab__2512___c____,X150,-1
XMetab__56683541___c____,X836,1
XMetab__4926___c____,X3269,-1
XMetab__5073___c____,X840,1
XMetab__12035___c____,X3551,-1
XMetab__93860___c____,X5595,-1
XMetab__444795___c____,X1576,1
XMetab__444795___c____,X1576,-1
XMetab__3345___c____,X4986,1
XMetab__5284513___c____,X836,1
XMetab__450___c____,X6714,1
XMetab__3973___c____,X7018,-1
XMetab__6834___c____,X1132,-1
XMetab__8200___c____,X43,-1
XMetab__761___c____,X5471,1
XMetab__3954___c____,X773,-1
XMetab__1253___c____,X279,-1
XMetab__10635___c____,X9420,-1
XMetab__784___c____,X5743,1
XMetab__3339___c____,X7941,-1
XMetab__448457___c____,X3576,1
XMetab__3899___c____,X8856,1
XMetab__56654642___c____,X3065,-1
XMetab__444___c____,X1432,1
XMetab__2153___c____,X1571,1
XMetab__26934___c____,X148,1
XMetab__3054___c____,X3315,1
XMetab__985___c____,X2180,1
XMetab__5896___c____,X9,-1
XMetab__1546___c____,X6241,-1
XMetab__4705___c____,X1956,-1
XMetab__3238___c____,X4048,-1
XMetab__2375___c____,X5728,1
XMetab__448281___c____,X59272,-1
XMetab__22382___c____,X1859,-1
XMetab__9395___c____,X10908,-1
XMetab__2336___c____,X7173,1
XMetab__62959___c____,X545,1
XMetab__12813___c____,X1544,-1
XMetab__14888___c____,X842,1
XMetab__6328537___c____,X836,1
XMetab__5584___c____,X148,-1
XMetab__1967___c____,X3291,1
XMetab__656730___c____,X3741,-1
XMetab__5281605___c____,X4313,1
XMetab__5281605___c____,X4313,-1
XMetab__2729___c____,X1129,-1
XMetab__8987___c____,X1557,-1
XMetab__5359596___c____,X5594,1
XMetab__33___c____,X1508,-1
XMetab__60752___c____,X786,1
XMetab__5881___c____,X2099,1
XMetab__6439232___c____,X155,1
XMetab__11563635___c____,X3688,-1
XMetab__3001028___c____,X538,1
XMetab__24826799___c____,X2044,-1
XMetab__194327___c____,X4317,-1
XMetab__271___c____,X5333,1
XMetab__9904___c____,X367,1
XMetab__2806___c____,X959,-1
XMetab__784___c____,X836,1
XMetab__161597___c____,X22926,1
XMetab__5284607___c____,X632,1
XMetab__5722___c____,X5595,1
XMetab__4272___c____,X8856,1
XMetab__24424___c____,X3297,1
XMetab__3973___c____,X836,-1
XMetab__65110___c____,X2308,1
XMetab__8271___c____,X2891,-1
XMetab__5090___c____,X5742,-1
XMetab__216239___c____,X5594,-1
XMetab__47289___c____,X5743,1
XMetab__4739___c____,X100,-1
XMetab__644213___c____,X6256,-1
XMetab__4578___c____,X1544,-1
XMetab__24341___c____,X328,1
XMetab__5311507___c____,X1816,-1
XMetab__442783___c____,X4318,-1
XMetab__46885626___c____,X9212,-1
XMetab__134264___c____,X1786,-1
XMetab__3973___c____,X7422,-1
XMetab__39186___c____,X1576,-1
XMetab__2767___c____,X3091,-1
XMetab__2514___c____,X23236,1
XMetab__5035___c____,X7015,1
XMetab__91501___c____,X842,1
XMetab__5957___c____,X6230,1
XMetab__2372___c____,X154,-1
XMetab__3715___c____,X1499,-1
XMetab__124437___c____,X241,-1
XMetab__4976___c____,X6532,-1
XMetab__4893___c____,X148,-1
