item_id_a	item_id_b	mode	action	a_is_acting	score
9606.ENSP00000285900	CIDs00005206	inhibition	inhibition	f	991
CIDs00005206	9606.ENSP00000285900	inhibition	inhibition	t	991
9606.ENSP00000257068	CIDm00115348	binding	activation	f	999
CIDm00115348	9606.ENSP00000257068	binding	activation	t	999
9606.ENSP00000276198	CIDm00005584	inhibition	inhibition	f	991
CIDm00005584	9606.ENSP00000276198	inhibition	inhibition	t	991
CIDs00001023	9606.ENSP00000294016	inhibition	inhibition	f	989
CIDm00004624	9606.ENSP00000311032	activation	activation	t	957
9606.ENSP00000316244	CIDs00124007	binding	activation	f	998
CIDs00124007	9606.ENSP00000316244	binding	activation	t	998
9606.ENSP00000328412	CIDs00024316	activation	activation	t	900
CIDs00024316	9606.ENSP00000328412	activation	activation	f	900
9606.ENSP00000394033	CIDs00208898	inhibition	inhibition	f	998
CIDs00208898	9606.ENSP00000394033	inhibition	inhibition	t	998
9606.ENSP00000320025	CIDs00003333	inhibition	inhibition	f	991
CIDs00003333	9606.ENSP00000320025	inhibition	inhibition	t	991
9606.ENSP00000264382	CIDs03000322	inhibition	inhibition	f	958
CIDs03000322	9606.ENSP00000264382	inhibition	inhibition	t	958
CIDm00003054	9606.ENSP00000371432	activation	activation	t	957
9606.ENSP00000408526	CIDs00001003	binding	inhibition	f	900
CIDs00001003	9606.ENSP00000408526	binding	inhibition	t	900
9606.ENSP00000255380	CIDm00060853	inhibition	inhibition	f	958
CIDm00060853	9606.ENSP00000255380	inhibition	inhibition	t	958
9606.ENSP00000176183	CIDs00004585	inhibition	inhibition	f	998
CIDs00004585	9606.ENSP00000176183	inhibition	inhibition	t	998
9606.ENSP00000262186	CIDs00005405	inhibition	inhibition	f	997
CIDs00005405	9606.ENSP00000262186	inhibition	inhibition	t	997
9606.ENSP00000217133	CIDm00040839	inhibition	inhibition	f	958
CIDm00040839	9606.ENSP00000217133	inhibition	inhibition	t	958
9606.ENSP00000339191	CIDs00006022	activation	activation	t	900
CIDs00006022	9606.ENSP00000339191	activation	activation	f	900
CIDm00065999	9606.ENSP00000287820	activation	activation	t	957
9606.ENSP00000373169	CIDm00051767	inhibition	inhibition	f	958
CIDm00051767	9606.ENSP00000373169	inhibition	inhibition	t	958
9606.ENSP00000262948	CIDs05328940	inhibition	inhibition	f	991
CIDs05328940	9606.ENSP00000262948	inhibition	inhibition	t	991
9606.ENSP00000411593	CIDm00000702	activation	activation	f	958
CIDm00000702	9606.ENSP00000411593	activation	activation	t	958
9606.ENSP00000319635	CIDs03854666	inhibition	inhibition	f	987
CIDs03854666	9606.ENSP00000319635	inhibition	inhibition	t	987
CIDm53629505	9606.ENSP00000356113	activation	activation	t	957
CIDm00132803	9606.ENSP00000359478	activation	activation	t	957
9606.ENSP00000316244	CIDs00115111	inhibition	inhibition	f	958
CIDs00115111	9606.ENSP00000316244	inhibition	inhibition	t	958
CIDm00439177	9606.ENSP00000356489	inhibition	inhibition	t	957
9606.ENSP00000372326	CIDm00000750	activation	activation	t	900
CIDm00000750	9606.ENSP00000372326	activation	activation	f	900
9606.ENSP00000356438	CIDs00001983	inhibition	inhibition	f	997
CIDs00001983	9606.ENSP00000356438	inhibition	inhibition	t	997
9606.ENSP00000273430	CIDm00003749	inhibition	inhibition	f	991
CIDm00003749	9606.ENSP00000273430	inhibition	inhibition	t	991
9606.ENSP00000273430	CIDm00003749	binding	inhibition	f	958
CIDm00003749	9606.ENSP00000273430	binding	inhibition	t	958
CIDm00000896	9606.ENSP00000368683	inhibition	inhibition	t	957
CIDs00009305	9606.ENSP00000256592	activation	activation	f	989
9606.ENSP00000226413	CIDs25074886	inhibition	inhibition	f	958
CIDs25074886	9606.ENSP00000226413	inhibition	inhibition	t	958
9606.ENSP00000306490	CIDs00001979	binding	activation	f	958
CIDs00001979	9606.ENSP00000306490	binding	activation	t	958
9606.ENSP00000380247	CIDs00004205	inhibition	inhibition	f	958
CIDs00004205	9606.ENSP00000380247	inhibition	inhibition	t	958
CIDm00000702	9606.ENSP00000377083	inhibition	inhibition	t	990
9606.ENSP00000353362	CIDs00003954	inhibition	inhibition	f	991
CIDs00003954	9606.ENSP00000353362	inhibition	inhibition	t	991
9606.ENSP00000274335	CIDs00000813	activation	activation	f	900
CIDs00000813	9606.ENSP00000274335	activation	activation	t	900
9606.ENSP00000274376	CIDs00006830	activation	activation	t	989
CIDs00006830	9606.ENSP00000274376	activation	activation	f	989
9606.ENSP00000353915	CIDm00129927	binding	inhibition	f	958
CIDm00129927	9606.ENSP00000353915	binding	inhibition	t	958
9606.ENSP00000219789	CIDm00001023	binding	inhibition	f	900
CIDm00001023	9606.ENSP00000219789	binding	inhibition	t	900
CIDm00005040	9606.ENSP00000358022	inhibition	inhibition	t	957
9606.ENSP00000394033	CIDs00071329	inhibition	inhibition	f	958
CIDs00071329	9606.ENSP00000394033	inhibition	inhibition	t	958
CIDs00003488	9606.ENSP00000312652	activation	activation	t	957
9606.ENSP00000370034	CIDm00003652	inhibition	inhibition	f	991
CIDm00003652	9606.ENSP00000370034	inhibition	inhibition	t	991
9606.ENSP00000219833	CIDs00002801	inhibition	inhibition	f	998
CIDs00002801	9606.ENSP00000219833	inhibition	inhibition	t	998
9606.ENSP00000301455	CIDs05280450	activation	activation	f	900
CIDs05280450	9606.ENSP00000301455	activation	activation	t	900
