item_id_a	item_id_b	mode	action	a_is_acting	score
9606.ENSP00000219833	CIDm00005032	inhibition	inhibition	f	958
CIDm00005032	9606.ENSP00000219833	inhibition	inhibition	t	958
CIDs00004740	9606.ENSP00000264832	inhibition	inhibition	t	990
CIDs00068595	9606.ENSP00000227507	inhibition	inhibition	t	957
9606.ENSP00000319635	CIDm03854666	inhibition	inhibition	f	987
CIDm03854666	9606.ENSP00000319635	inhibition	inhibition	t	987
9606.ENSP00000354193	CIDs00002146	inhibition	inhibition	f	938
CIDs00002146	9606.ENSP00000354193	inhibition	inhibition	t	938
CIDs00003339	9606.ENSP00000356969	activation	activation	t	957
9606.ENSP00000231509	CIDm00039507	activation	activation	f	958
CIDm00039507	9606.ENSP00000231509	activation	activation	t	958
9606.ENSP00000386069	CIDm00004205	binding	inhibition	f	958
CIDm00004205	9606.ENSP00000386069	binding	inhibition	t	958
9606.ENSP00000338072	CIDm00027991	activation	activation	f	991
CIDm00027991	9606.ENSP00000338072	activation	activation	t	991
9606.ENSP00000338072	CIDm00027991	binding	activation	f	998
CIDm00027991	9606.ENSP00000338072	binding	activation	t	998
9606.ENSP00000354859	CIDm00051767	inhibition	inhibition	f	991
CIDm00051767	9606.ENSP00000354859	inhibition	inhibition	t	991
CIDs00005212	9606.ENSP00000297494	activation	activation	t	998
9606.ENSP00000164139	CIDs00000271	activation	activation	f	900
CIDs00000271	9606.ENSP00000164139	activation	activation	t	900
9606.ENSP00000164139	CIDs00000271	binding	activation	f	900
CIDs00000271	9606.ENSP00000164139	binding	activation	t	900
9606.ENSP00000367959	CIDs00475096	binding	inhibition	f	958
CIDs00475096	9606.ENSP00000367959	binding	inhibition	t	958
CIDs00002514	9606.ENSP00000464149	inhibition	inhibition	t	957
9606.ENSP00000379330	CIDs00445643	inhibition	inhibition	f	900
CIDs00445643	9606.ENSP00000379330	inhibition	inhibition	t	900
CIDm00054454	9606.ENSP00000338018	activation	activation	t	957
9606.ENSP00000255380	CIDs00444030	inhibition	inhibition	f	991
CIDs00444030	9606.ENSP00000255380	inhibition	inhibition	t	991
CIDm00005129	9606.ENSP00000387230	inhibition	inhibition	t	957
9606.ENSP00000280155	CIDm00002512	inhibition	inhibition	f	958
CIDm00002512	9606.ENSP00000280155	inhibition	inhibition	t	958
9606.ENSP00000380247	CIDm00004926	inhibition	inhibition	f	958
CIDm00004926	9606.ENSP00000380247	inhibition	inhibition	t	958
9606.ENSP00000430684	CIDs00012035	inhibition	inhibition	f	987
CIDs00012035	9606.ENSP00000430684	inhibition	inhibition	t	987
CIDs00003676	9606.ENSP00000320239	inhibition	inhibition	t	990
CIDs05280453	9606.ENSP00000295453	activation	activation	t	998
9606.ENSP00000265572	CIDs00003345	activation	activation	f	991
CIDs00003345	9606.ENSP00000265572	activation	activation	t	991
9606.ENSP00000352834	CIDs00006830	activation	activation	f	999
CIDs00006830	9606.ENSP00000352834	activation	activation	t	999
9606.ENSP00000409378	CIDm00006834	inhibition	inhibition	f	958
CIDm00006834	9606.ENSP00000409378	inhibition	inhibition	t	958
9606.ENSP00000264220	CIDm00000761	activation	activation	f	900
CIDm00000761	9606.ENSP00000264220	activation	activation	t	900
9606.ENSP00000353362	CIDm00003954	inhibition	inhibition	f	991
CIDm00003954	9606.ENSP00000353362	inhibition	inhibition	t	991
9606.ENSP00000397582	CIDm00001253	inhibition	inhibition	f	958
CIDm00001253	9606.ENSP00000397582	inhibition	inhibition	t	958
CIDs00068740	9606.ENSP00000361125	activation	activation	t	957
CIDs00068740	9606.ENSP00000361125	inhibition	inhibition	t	957
CIDm00003488	9606.ENSP00000387662	inhibition	inhibition	t	957
CIDm00005056	9606.ENSP00000361850	inhibition	inhibition	t	998
CIDs00160355	9606.ENSP00000264657	activation	activation	t	957
9606.ENSP00000369960	CIDs00026934	activation	activation	f	958
CIDs00026934	9606.ENSP00000369960	activation	activation	t	958
9606.ENSP00000248553	CIDm00003054	activation	activation	f	900
CIDm00003054	9606.ENSP00000248553	activation	activation	t	900
CIDm00000985	9606.ENSP00000281455	activation	activation	t	989
9606.ENSP00000353770	CIDm00001546	inhibition	inhibition	f	991
CIDm00001546	9606.ENSP00000353770	inhibition	inhibition	t	991
9606.ENSP00000275493	CIDs00004705	inhibition	inhibition	f	907
CIDs00004705	9606.ENSP00000275493	inhibition	inhibition	t	907
CIDm00000303	9606.ENSP00000222381	inhibition	inhibition	t	957
CIDs00047936	9606.ENSP00000264162	activation	activation	t	957
CIDs00383413	9606.ENSP00000354822	activation	activation	t	998
9606.ENSP00000330237	CIDm00014888	activation	activation	f	907
CIDm00014888	9606.ENSP00000330237	activation	activation	t	907
9606.ENSP00000369960	CIDm00005584	inhibition	inhibition	f	991
CIDm00005584	9606.ENSP00000369960	inhibition	inhibition	t	991
9606.ENSP00000309771	CIDs00122301	binding	activation	f	991
CIDs00122301	9606.ENSP00000309771	binding	activation	t	991
CIDs05280453	9606.ENSP00000342793	activation	activation	t	957
9606.ENSP00000367959	CIDs00005073	inhibition	inhibition	f	991
CIDs00005073	9606.ENSP00000367959	inhibition	inhibition	t	991
CIDs05281605	9606.ENSP00000219070	activation	activation	t	957
9606.ENSP00000319984	CIDm00002729	inhibition	inhibition	f	958
CIDm00002729	9606.ENSP00000319984	inhibition	inhibition	t	958
CIDm00000159	9606.ENSP00000272190	activation	activation	t	957
CIDm00002537	9606.ENSP00000382659	activation	activation	t	957
CIDm00003893	9606.ENSP00000233242	activation	activation	t	957
CIDs00003973	9606.ENSP00000312652	inhibition	inhibition	t	957
CIDm00388944	9606.ENSP00000340820	activation	activation	t	905
CIDm05281672	9606.ENSP00000346671	inhibition	inhibition	t	957
CIDs57345410	9606.ENSP00000363512	inhibition	inhibition	t	957
9606.ENSP00000430344	CIDs00000271	activation	activation	f	900
CIDs00000271	9606.ENSP00000430344	activation	activation	t	900
9606.ENSP00000430344	CIDs00000271	binding	activation	f	900
CIDs00000271	9606.ENSP00000430344	binding	activation	t	900
9606.ENSP00000276198	CIDs00001229	binding	activation	f	998
CIDs00001229	9606.ENSP00000276198	binding	activation	t	998
9606.ENSP00000265572	CIDm00004058	binding	activation	f	958
CIDm00004058	9606.ENSP00000265572	binding	activation	t	958
CIDm00442783	9606.ENSP00000380252	activation	activation	t	990
CIDm00000784	9606.ENSP00000353427	activation	activation	t	990
9606.ENSP00000311032	CIDs00000784	activation	activation	f	918
CIDs00000784	9606.ENSP00000311032	activation	activation	t	918
CIDm00004812	9606.ENSP00000308541	activation	activation	t	1000
9606.ENSP00000385432	CIDm00165217	activation	activation	t	900
CIDm00165217	9606.ENSP00000385432	activation	activation	f	900
9606.ENSP00000343782	CIDs00036920	binding	inhibition	f	958
CIDs00036920	9606.ENSP00000343782	binding	inhibition	t	958
9606.ENSP00000362401	CIDm00003909	binding	activation	f	998
CIDm00003909	9606.ENSP00000362401	binding	activation	t	998
CIDm00026548	9606.ENSP00000376776	inhibition	inhibition	t	957
9606.ENSP00000264426	CIDm00008271	inhibition	inhibition	f	958
CIDm00008271	9606.ENSP00000264426	inhibition	inhibition	t	958
CIDm00004922	9606.ENSP00000335657	inhibition	inhibition	t	990
9606.ENSP00000361965	CIDm00004739	inhibition	inhibition	f	958
CIDm00004739	9606.ENSP00000361965	inhibition	inhibition	t	958
9606.ENSP00000361965	CIDm00004739	binding	inhibition	f	900
CIDm00004739	9606.ENSP00000361965	binding	inhibition	t	900
CIDs71308609	9606.ENSP00000359380	inhibition	inhibition	t	957
9606.ENSP00000306129	CIDs05311507	inhibition	inhibition	f	958
CIDs05311507	9606.ENSP00000306129	inhibition	inhibition	t	958
9606.ENSP00000361405	CIDm00442783	inhibition	inhibition	f	907
CIDm00442783	9606.ENSP00000361405	inhibition	inhibition	t	907
CIDs00006013	9606.ENSP00000234111	activation	activation	t	957
CIDs00006013	9606.ENSP00000234111	inhibition	inhibition	t	999
CIDm00016124	9606.ENSP00000349078	inhibition	inhibition	t	999
CIDm00290380	9606.ENSP00000216117	activation	activation	t	957
CIDm00002524	9606.ENSP00000287820	activation	activation	t	957
CIDm00003973	9606.ENSP00000361125	inhibition	inhibition	t	999
9606.ENSP00000277508	CIDs00005994	activation	activation	t	907
CIDs00005994	9606.ENSP00000277508	activation	activation	f	907
9606.ENSP00000259455	CIDs00000119	binding	activation	f	991
CIDs00000119	9606.ENSP00000259455	binding	activation	t	991
9606.ENSP00000338185	CIDm00002514	activation	activation	f	900
CIDm00002514	9606.ENSP00000338185	activation	activation	t	900
9606.ENSP00000272163	CIDm00091695	binding	inhibition	f	989
CIDm00091695	9606.ENSP00000272163	binding	inhibition	t	989
CIDs00005757	9606.ENSP00000306245	activation	activation	t	999
CIDm00000896	9606.ENSP00000216117	activation	activation	t	957
CIDs00006830	9606.ENSP00000408695	activation	activation	f	998
CIDs05281767	9606.ENSP00000262735	activation	activation	t	999
CIDs00005376	9606.ENSP00000340820	activation	activation	t	957
9606.ENSP00000261707	CIDm00004976	inhibition	inhibition	f	991
CIDm00004976	9606.ENSP00000261707	inhibition	inhibition	t	991
9606.ENSP00000369960	CIDm00004893	inhibition	inhibition	f	998
CIDm00004893	9606.ENSP00000369960	inhibition	inhibition	t	998
9606.ENSP00000385026	CIDm00039764	inhibition	inhibition	f	991
CIDm00039764	9606.ENSP00000385026	inhibition	inhibition	t	991
CIDs00024261	9606.ENSP00000223095	activation	activation	t	957
9606.ENSP00000275216	CIDs00003007	activation	activation	f	991
CIDs00003007	9606.ENSP00000275216	activation	activation	t	991
CIDs00005957	9606.ENSP00000258743	activation	activation	t	957
CIDm00004091	9606.ENSP00000297350	activation	activation	t	957
9606.ENSP00000369134	CIDm00000888	activation	activation	f	900
CIDm00000888	9606.ENSP00000369134	activation	activation	t	900
9606.ENSP00000387281	CIDm00004585	inhibition	inhibition	f	998
CIDm00004585	9606.ENSP00000387281	inhibition	inhibition	t	998
9606.ENSP00000389338	CIDm00014888	activation	activation	f	907
CIDm00014888	9606.ENSP00000389338	activation	activation	t	907
CIDm00000581	9606.ENSP00000265724	inhibition	inhibition	t	957
CIDm00003616	9606.ENSP00000323720	activation	activation	t	999
CIDm00002561	9606.ENSP00000261465	inhibition	inhibition	t	957
9606.ENSP00000254854	CIDm00000271	binding	inhibition	f	989
CIDm00000271	9606.ENSP00000254854	binding	inhibition	t	989
9606.ENSP00000357669	CIDs11947681	activation	activation	f	958
CIDs11947681	9606.ENSP00000357669	activation	activation	t	958
9606.ENSP00000297494	CIDs00006322	activation	activation	t	900
CIDs00006322	9606.ENSP00000297494	activation	activation	f	900
CIDs00003440	9606.ENSP00000387694	inhibition	inhibition	t	957
CIDs05311330	9606.ENSP00000003084	activation	activation	t	957
CIDm00000942	9606.ENSP00000261233	activation	activation	t	990
9606.ENSP00000217133	CIDs00002833	inhibition	inhibition	f	991
CIDs00002833	9606.ENSP00000217133	inhibition	inhibition	t	991
9606.ENSP00000320025	CIDm00004499	inhibition	inhibition	f	991
CIDm00004499	9606.ENSP00000320025	inhibition	inhibition	t	991
9606.ENSP00000264426	CIDs00000271	activation	activation	t	900
CIDs00000271	9606.ENSP00000264426	activation	activation	f	900
CIDs00000702	9606.ENSP00000264708	activation	activation	t	957
CIDs00000702	9606.ENSP00000264708	inhibition	inhibition	t	990
CIDs49773820	9606.ENSP00000270202	activation	activation	t	957
9606.ENSP00000385026	CIDm00002381	inhibition	inhibition	f	991
CIDm00002381	9606.ENSP00000385026	inhibition	inhibition	t	991
CIDs00444795	9606.ENSP00000264832	activation	activation	t	957
9606.ENSP00000276198	CIDm00004199	inhibition	inhibition	f	958
CIDm00004199	9606.ENSP00000276198	inhibition	inhibition	t	958
CIDs00146570	9606.ENSP00000344192	inhibition	inhibition	t	957
CIDm00409805	9606.ENSP00000304283	inhibition	inhibition	t	999
9606.ENSP00000354519	CIDs00000888	binding	activation	f	989
CIDs00000888	9606.ENSP00000354519	binding	activation	t	989
9606.ENSP00000348897	CIDs00969472	activation	activation	f	958
CIDs00969472	9606.ENSP00000348897	activation	activation	t	958
CIDm00002676	9606.ENSP00000006053	inhibition	inhibition	t	957
9606.ENSP00000302227	CIDm00000801	binding	inhibition	f	900
CIDm00000801	9606.ENSP00000302227	binding	inhibition	t	900
9606.ENSP00000355627	CIDm00002550	inhibition	inhibition	f	989
CIDm00002550	9606.ENSP00000355627	inhibition	inhibition	t	989
CIDm00027833	9606.ENSP00000316244	inhibition	inhibition	t	957
9606.ENSP00000360141	CIDm00000238	activation	activation	t	999
CIDm00000238	9606.ENSP00000360141	activation	activation	f	999
9606.ENSP00000363512	CIDs06335412	inhibition	inhibition	f	958
CIDs06335412	9606.ENSP00000363512	inhibition	inhibition	t	958
CIDs11174599	9606.ENSP00000256010	inhibition	inhibition	t	957
CIDm00004946	9606.ENSP00000305372	activation	activation	t	930
CIDm00004946	9606.ENSP00000305372	inhibition	inhibition	t	960
CIDs00005754	9606.ENSP00000316244	inhibition	inhibition	t	957
9606.ENSP00000363822	CIDm00236666	activation	activation	f	958
CIDm00236666	9606.ENSP00000363822	activation	activation	t	958
CIDm00000338	9606.ENSP00000305422	inhibition	inhibition	t	990
CIDs05311211	9606.ENSP00000260010	inhibition	inhibition	t	957
CIDs00000774	9606.ENSP00000297494	activation	activation	t	999
9606.ENSP00000354522	CIDm00002538	inhibition	inhibition	f	938
CIDm00002538	9606.ENSP00000354522	inhibition	inhibition	t	938
9606.ENSP00000356438	CIDs00004781	inhibition	inhibition	f	998
CIDs00004781	9606.ENSP00000356438	inhibition	inhibition	t	998
9606.ENSP00000306490	CIDs00002381	inhibition	inhibition	f	998
CIDs00002381	9606.ENSP00000306490	inhibition	inhibition	t	998
9606.ENSP00000216629	CIDs00122227	binding	activation	f	998
CIDs00122227	9606.ENSP00000216629	binding	activation	t	998
9606.ENSP00000306124	CIDm00000813	activation	activation	t	900
CIDm00000813	9606.ENSP00000306124	activation	activation	f	900
CIDm00000942	9606.ENSP00000454071	activation	activation	t	998
CIDs05282451	9606.ENSP00000309757	activation	activation	t	998
9606.ENSP00000275493	CIDm00004705	inhibition	inhibition	f	907
CIDm00004705	9606.ENSP00000275493	inhibition	inhibition	t	907
CIDm05317623	9606.ENSP00000361125	inhibition	inhibition	t	957
9606.ENSP00000411532	CIDm00003685	inhibition	inhibition	f	998
CIDm00003685	9606.ENSP00000411532	inhibition	inhibition	t	998
9606.ENSP00000380227	CIDs09935681	inhibition	inhibition	f	958
CIDs09935681	9606.ENSP00000380227	inhibition	inhibition	t	958
9606.ENSP00000306490	CIDs00003746	binding	inhibition	f	958
CIDs00003746	9606.ENSP00000306490	binding	inhibition	t	958
9606.ENSP00000316244	CIDs00047811	activation	activation	f	958
CIDs00047811	9606.ENSP00000316244	activation	activation	t	958
9606.ENSP00000356438	CIDs00004649	inhibition	inhibition	f	958
CIDs00004649	9606.ENSP00000356438	inhibition	inhibition	t	958
9606.ENSP00000354859	CIDm00060149	inhibition	inhibition	f	991
CIDm00060149	9606.ENSP00000354859	inhibition	inhibition	t	991
9606.ENSP00000308165	CIDs05280934	activation	activation	f	900
CIDs05280934	9606.ENSP00000308165	activation	activation	t	900
CIDm00124361	9606.ENSP00000229239	inhibition	inhibition	t	957
9606.ENSP00000289753	CIDs00055751	binding	inhibition	f	958
CIDs00055751	9606.ENSP00000289753	binding	inhibition	t	958
CIDs05280453	9606.ENSP00000361125	activation	activation	t	998
CIDm00150311	9606.ENSP00000348069	inhibition	inhibition	t	957
9606.ENSP00000357669	CIDm11947681	activation	activation	f	958
CIDm11947681	9606.ENSP00000357669	activation	activation	t	958
9606.ENSP00000296140	CIDs00122980	binding	activation	f	958
CIDs00122980	9606.ENSP00000296140	binding	activation	t	958
CIDm00000238	9606.ENSP00000355533	activation	activation	t	990
CIDm00000896	9606.ENSP00000311196	activation	activation	t	957
9606.ENSP00000387281	CIDs00005487	activation	activation	f	958
CIDs00005487	9606.ENSP00000387281	activation	activation	t	958
9606.ENSP00000306662	CIDs00004195	activation	activation	f	991
CIDs00004195	9606.ENSP00000306662	activation	activation	t	991
9606.ENSP00000382791	CIDm00005514	inhibition	inhibition	f	991
CIDm00005514	9606.ENSP00000382791	inhibition	inhibition	t	991
CIDs05284616	9606.ENSP00000338018	inhibition	inhibition	t	999
CIDm04355450	9606.ENSP00000335544	inhibition	inhibition	t	957
9606.ENSP00000345708	CIDs00006076	activation	activation	f	989
CIDs00006076	9606.ENSP00000345708	activation	activation	t	989
CIDs00022880	9606.ENSP00000306245	activation	activation	t	957
9606.ENSP00000358730	CIDs00093205	binding	activation	f	998
CIDs00093205	9606.ENSP00000358730	binding	activation	t	998
CIDs00003696	9606.ENSP00000271751	inhibition	inhibition	t	957
CIDm00004788	9606.ENSP00000211122	activation	activation	t	957
9606.ENSP00000255380	CIDs00657346	binding	activation	f	998
CIDs00657346	9606.ENSP00000255380	binding	activation	t	998
9606.ENSP00000248901	CIDm00000730	activation	activation	t	989
CIDm00000730	9606.ENSP00000248901	activation	activation	f	989
9606.ENSP00000355627	CIDs05462501	inhibition	inhibition	f	989
CIDs05462501	9606.ENSP00000355627	inhibition	inhibition	t	989
CIDs05388961	9606.ENSP00000272190	activation	activation	t	998
9606.ENSP00000283195	CIDm00000730	activation	activation	t	999
CIDm00000730	9606.ENSP00000283195	activation	activation	f	999
9606.ENSP00000312126	CIDm00000238	inhibition	inhibition	t	989
CIDm00000238	9606.ENSP00000312126	inhibition	inhibition	f	989
9606.ENSP00000312126	CIDm00000238	activation	activation	t	900
CIDm00000238	9606.ENSP00000312126	activation	activation	f	900
9606.ENSP00000285379	CIDm00005514	inhibition	inhibition	f	987
CIDm00005514	9606.ENSP00000285379	inhibition	inhibition	t	987
9606.ENSP00000343925	CIDm00011301	activation	activation	f	958
CIDm00011301	9606.ENSP00000343925	activation	activation	t	958
9606.ENSP00000316244	CIDm00062867	inhibition	inhibition	f	998
CIDm00062867	9606.ENSP00000316244	inhibition	inhibition	t	998
9606.ENSP00000325120	CIDm00003181	activation	activation	f	958
CIDm00003181	9606.ENSP00000325120	activation	activation	t	958
CIDm00003367	9606.ENSP00000245414	inhibition	inhibition	t	957
9606.ENSP00000352584	CIDs00002763	inhibition	inhibition	f	907
CIDs00002763	9606.ENSP00000352584	inhibition	inhibition	t	907
CIDm09796290	9606.ENSP00000353731	inhibition	inhibition	t	998
9606.ENSP00000262186	CIDs00003157	inhibition	inhibition	f	998
CIDs00003157	9606.ENSP00000262186	inhibition	inhibition	t	998
CIDs00006724	9606.ENSP00000356438	activation	activation	t	957
CIDm00002767	9606.ENSP00000287647	activation	activation	t	957
9606.ENSP00000305503	CIDm00000762	activation	activation	t	999
CIDm00000762	9606.ENSP00000305503	activation	activation	f	999
9606.ENSP00000258400	CIDs00054746	activation	activation	f	958
CIDs00054746	9606.ENSP00000258400	activation	activation	t	958
CIDs00005073	9606.ENSP00000354859	activation	activation	t	990
CIDs00024462	9606.ENSP00000302961	activation	activation	t	957
CIDs05280453	9606.ENSP00000363804	inhibition	inhibition	t	990
9606.ENSP00000294016	CIDs00001023	inhibition	inhibition	t	989
CIDs00001023	9606.ENSP00000294016	inhibition	inhibition	f	989
9606.ENSP00000294016	CIDs00001023	activation	activation	t	900
CIDs00001023	9606.ENSP00000294016	activation	activation	f	900
CIDm00005538	9606.ENSP00000215832	activation	activation	t	957
9606.ENSP00000353072	CIDm00000271	activation	activation	t	900
CIDm00000271	9606.ENSP00000353072	activation	activation	f	900
9606.ENSP00000330138	CIDm00071306	binding	activation	f	998
CIDm00071306	9606.ENSP00000330138	binding	activation	t	998
9606.ENSP00000270776	CIDs05281007	inhibition	inhibition	f	958
CIDs05281007	9606.ENSP00000270776	inhibition	inhibition	t	958
9606.ENSP00000369960	CIDs00146570	inhibition	inhibition	f	958
CIDs00146570	9606.ENSP00000369960	inhibition	inhibition	t	958
CIDs00000784	9606.ENSP00000387699	inhibition	inhibition	t	957
CIDs00002019	9606.ENSP00000269305	activation	activation	t	990
CIDs00400769	9606.ENSP00000270202	inhibition	inhibition	t	999
9606.ENSP00000266659	CIDs05280934	activation	activation	f	900
CIDs05280934	9606.ENSP00000266659	activation	activation	t	900
9606.ENSP00000309757	CIDs00002796	activation	activation	f	938
CIDs00002796	9606.ENSP00000309757	activation	activation	t	938
9606.ENSP00000356969	CIDm00000860	activation	activation	f	900
CIDm00000860	9606.ENSP00000356969	activation	activation	t	900
9606.ENSP00000374467	CIDm00002727	inhibition	inhibition	f	991
CIDm00002727	9606.ENSP00000374467	inhibition	inhibition	t	991
9606.ENSP00000419692	CIDm00005538	activation	activation	f	999
CIDm00005538	9606.ENSP00000419692	activation	activation	t	999
9606.ENSP00000409378	CIDm00004629	binding	activation	f	998
CIDm00004629	9606.ENSP00000409378	binding	activation	t	998
9606.ENSP00000261890	CIDs00006830	activation	activation	t	900
CIDs00006830	9606.ENSP00000261890	activation	activation	f	900
CIDm00004383	9606.ENSP00000262735	activation	activation	t	957
9606.ENSP00000409378	CIDm00004819	binding	activation	f	998
CIDm00004819	9606.ENSP00000409378	binding	activation	t	998
CIDm00005538	9606.ENSP00000346067	activation	activation	t	957
CIDs03001028	9606.ENSP00000291527	activation	activation	t	957
9606.ENSP00000265641	CIDm00000860	activation	activation	f	900
CIDm00000860	9606.ENSP00000265641	activation	activation	t	900
9606.ENSP00000342007	CIDm00001530	activation	activation	t	999
CIDm00001530	9606.ENSP00000342007	activation	activation	f	999
CIDm00644241	9606.ENSP00000441927	activation	activation	t	957
9606.ENSP00000245457	CIDs00132836	binding	activation	f	998
CIDs00132836	9606.ENSP00000245457	binding	activation	t	998
9606.ENSP00000316244	CIDm00002512	activation	activation	f	958
CIDm00002512	9606.ENSP00000316244	activation	activation	t	958
9606.ENSP00000219833	CIDs00446220	inhibition	inhibition	f	997
CIDs00446220	9606.ENSP00000219833	inhibition	inhibition	t	997
CIDm00023925	9606.ENSP00000343021	binding	activation	t	998
9606.ENSP00000263372	CIDm00001065	inhibition	inhibition	f	998
CIDm00001065	9606.ENSP00000263372	inhibition	inhibition	t	998
9606.ENSP00000418960	CIDs00005957	activation	activation	t	900
CIDs00005957	9606.ENSP00000418960	activation	activation	f	900
CIDm00000702	9606.ENSP00000337915	activation	activation	t	998
CIDs00004609	9606.ENSP00000221132	activation	activation	t	957
CIDm00003007	9606.ENSP00000306245	activation	activation	t	999
CIDm00003007	9606.ENSP00000306245	inhibition	inhibition	t	957
9606.ENSP00000307445	CIDm00001413	binding	activation	f	998
