source,sign,target
Metab__115348,1,4544
Metab__4624,1,836
Metab__124007,1,3350
Metab__3054,1,9606.ENSP00000371432
Metab__1003,-1,3612
Metab__4585,-1,1815
Metab__5405,-1,3757
Metab__65999,1,5468
Metab__51767,-1,1814
Metab__5328940,-1,5605
Metab__3854666,-1,3579
Metab__53629505,1,85414
Metab__115111,-1,3350
Metab__439177,-1,7957
Metab__1983,-1,5743
Metab__3749,-1,185
Metab__3749,-1,185
Metab__25074886,-1,2798
Metab__1979,1,1128
Metab__4205,-1,3269
Metab__702,-1,10840
Metab__813,1,9606.ENSP00000274335
Metab__129927,-1,3360
Metab__1023,-1,10423
Metab__5040,-1,4170
Metab__2801,-1,6530
Metab__5280450,1,51129
Metab__4740,-1,3383
Metab__3854666,-1,3579
Metab__3339,1,336
Metab__4205,-1,152
Metab__27991,1,554
Metab__27991,1,554
Metab__51767,-1,1813
Metab__271,1,5837
Metab__271,1,5837
Metab__445643,-1,4773
Metab__444030,-1,1131
Metab__4926,-1,3269
Metab__5280453,1,251
Metab__3345,1,4986
Metab__6830,1,9606.ENSP00000352834
Metab__761,1,5471
Metab__3054,1,3315
Metab__985,1,2180
Metab__4705,-1,1956
Metab__5073,-1,3356
Metab__5281605,1,4313
Metab__2729,-1,1129
Metab__2537,1,7442
Metab__271,1,5333
Metab__271,1,5333
Metab__1229,1,3358
Metab__4058,1,4986
Metab__784,1,836
Metab__4812,1,2147
Metab__3909,1,10800
Metab__4922,-1,885
Metab__4739,-1,100
Metab__4739,-1,100
Metab__442783,-1,4318
Metab__16124,-1,2224
Metab__2524,1,5468
Metab__3973,-1,7422
Metab__119,1,9568
Metab__2514,1,23236
Metab__91695,-1,3930
Metab__5757,1,2353
Metab__4976,-1,6532
Metab__4893,-1,148
Metab__5957,1,3569
Metab__888,1,5160
Metab__4585,-1,9606.ENSP00000387281
Metab__2561,-1,3290
Metab__271,-1,3000
Metab__11947681,1,4881
Metab__702,1,5443
Metab__702,-1,5443
Metab__409805,-1,5881
Metab__888,1,9606.ENSP00000354519
Metab__801,-1,883
Metab__2550,-1,183
Metab__4946,1,154
Metab__4946,-1,154
Metab__236666,1,367
Metab__2538,-1,7150
Metab__2381,-1,1128
Metab__122227,1,623
Metab__4705,-1,1956
Metab__3746,-1,1128
Metab__47811,1,3350
Metab__60149,-1,1813
Metab__5280934,1,948
Metab__55751,-1,3362
Metab__11947681,1,4881
Metab__5487,1,9606.ENSP00000387281
Metab__5514,-1,2897
Metab__5284616,-1,3091
Metab__4355450,-1,887
Metab__6076,1,3767
Metab__93205,1,57413
Metab__657346,1,1131
Metab__5462501,-1,183
Metab__5388961,1,5972
Metab__5514,-1,760
Metab__3181,1,5241
Metab__9796290,-1,1803
Metab__2767,1,2177
Metab__54746,1,3357
Metab__5073,1,1813
Metab__5538,1,5594
Metab__71306,1,9606.ENSP00000330138
Metab__784,-1,1385
Metab__2019,1,7157
Metab__5280934,1,11010
Metab__2796,1,9606.ENSP00000309757
Metab__860,1,336
Metab__5538,1,6256
Metab__4629,1,1132
Metab__4383,1,5465
Metab__860,1,1374
Metab__132836,1,5732
Metab__2512,1,3350
Metab__446220,-1,6530
Metab__23925,1,121642
Metab__3007,1,2353
Metab__3007,-1,2353
Metab__1549007,-1,6713
Metab__71360,-1,3363
Metab__11210478,1,836
Metab__3209,1,4862
Metab__24856436,-1,7465
Metab__177,1,54498
Metab__107847,1,4988
Metab__238,1,9606.ENSP00000339095
Metab__5538,1,50943
Metab__446284,1,116519
Metab__101526,-1,7153
Metab__283,1,5465
Metab__5038,-1,9606.ENSP00000464149
Metab__312,-1,2588
Metab__1809,1,9606.ENSP00000313661
Metab__2170,-1,1813
Metab__174174,-1,6863
Metab__24826799,-1,3932
Metab__271,1,111
Metab__274,1,9457
Metab__60612,1,9606.ENSP00000387281
Metab__444899,1,8800
Metab__36462,1,207
Metab__5376,-1,5578
Metab__2160,-1,6532
Metab__784,1,3569
Metab__2249,-1,153
Metab__4946,-1,154
Metab__271,1,5533
Metab__784,-1,3479
Metab__6212,-1,3757
Metab__1220,1,3361
Metab__5064,-1,3614
Metab__2581,-1,5742
Metab__11167602,-1,673
Metab__3310,1,207
Metab__177,-1,5770
Metab__54746,1,1815
Metab__255,-1,55347
Metab__4848,-1,1128
Metab__644066,-1,1375
Metab__104795,1,57413
Metab__5538,1,5917
Metab__5917,1,2353
Metab__4829,1,9370
Metab__21632,-1,1312
Metab__445154,1,5728
Metab__5311055,-1,104909134
Metab__36462,1,7157
Metab__5510,-1,3565
Metab__4044,-1,5743
Metab__123619,-1,5743
Metab__3784,-1,775
Metab__2361,1,1543
Metab__5538,1,6469
Metab__60834,-1,6530
Metab__2818,-1,1813
Metab__4973,-1,9575
Metab__985,1,1376
Metab__5362129,-1,1636
Metab__985,1,4800
Metab__2818,-1,147
Metab__174174,-1,2520
Metab__145068,1,2983
Metab__3108,-1,8654
Metab__91649,-1,367
Metab__16004692,-1,1909
Metab__457933,1,2358
Metab__10461,1,3576
Metab__54454,-1,6347
Metab__231,1,50486
Metab__888,1,1738
Metab__3779,1,2641
Metab__24755481,1,8897
Metab__772,1,5196
Metab__5381,1,5914
Metab__5566,-1,801
Metab__5983,-1,43
Metab__5961,-1,1503
Metab__54313,1,6915
Metab__985,1,116519
Metab__5538,1,5914
Metab__2514,-1,4968
Metab__115237,-1,1813
Metab__3973,1,2932
Metab__1613,-1,57016
Metab__24261,1,3553
Metab__5284616,-1,6198
Metab__446284,1,3992
Metab__4894,1,2908
Metab__888,1,1312
Metab__5538,1,1050
Metab__4858,-1,142
Metab__433902,1,5582
Metab__3640,-1,3569
Metab__77998,1,2641
Metab__283,1,5468
Metab__216239,-1,22809
Metab__177335,-1,3360
Metab__11597571,-1,238
Metab__16007391,-1,9212
Metab__440038,1,718
Metab__985,1,5244
Metab__5997,1,19
Metab__60612,1,152
Metab__6918537,-1,1803
Metab__2524,-1,1594
Metab__3143,1,836
Metab__764,1,207
Metab__5002,-1,9606.ENSP00000327652
Metab__5426,-1,7422
Metab__128563,1,4986
Metab__12066,-1,6817
Metab__1548886,-1,5743
Metab__3310,1,836
Metab__445154,1,6648
Metab__37392,-1,3757
Metab__2735,1,8600
Metab__448537,1,3952
Metab__24826799,-1,25
Metab__11434515,-1,1133
Metab__4543,-1,146
Metab__888,-1,5409
Metab__3931,1,1581
Metab__5056,-1,3553
Metab__145068,1,4881
Metab__4636,1,146
Metab__62156,1,4985
Metab__41376,1,59340
Metab__5095,1,3350
Metab__1271,1,2912
Metab__2909,-1,5530
Metab__5002,-1,3350
Metab__6918403,-1,1956
Metab__5280754,-1,5243
Metab__60662,-1,8911
Metab__24748204,-1,9212
Metab__5479530,1,6506
Metab__702,1,2597
Metab__5526,-1,5340
Metab__3224,-1,9429
Metab__23931,-1,7915
Metab__1986,-1,760
Metab__446155,1,4846
Metab__3893,1,2641
Metab__3086681,-1,6869
Metab__4927,-1,1813
Metab__60853,-1,3350
Metab__60853,1,3350
Metab__5056,1,6648
Metab__5538,1,5915
Metab__2471,-1,1080
Metab__271,1,826
Metab__1935,-1,43
Metab__3676,-1,6331
Metab__4920,1,367
Metab__784,1,3043
Metab__2818,-1,3350
Metab__2818,1,3350
Metab__1229,1,3356
Metab__9841667,-1,3579
Metab__156326,-1,152
Metab__4585,-1,3274
Metab__5358,1,3350
Metab__128017,1,3351
Metab__3042,-1,1128
Metab__985,1,29841
Metab__5040,-1,595
Metab__6433117,1,154
Metab__65014,1,6387
Metab__65014,-1,6387
Metab__176870,-1,1956
Metab__61,-1,3635
Metab__5202,1,3350
Metab__104849,-1,1268
Metab__16750408,-1,1111
Metab__5460048,1,336
Metab__5566,-1,1718
Metab__1986,-1,23632
Metab__2818,-1,150
Metab__860,1,27242
Metab__5815,1,3576
Metab__5995,1,367
Metab__148842,-1,148
Metab__16124,-1,2224
Metab__160,1,1906
Metab__107706,-1,1991
Metab__450,1,3952
Metab__2995,-1,1133
Metab__6169,-1,1813
Metab__271,1,5573
Metab__3964,-1,1813
Metab__985,1,4802
Metab__70914,1,1373
Metab__5284616,-1,896
Metab__644241,-1,25
Metab__4771,-1,4129
Metab__8747,-1,3635
Metab__1927,1,5346
Metab__271,1,6010
Metab__271,-1,6010
Metab__564,-1,5327
Metab__3009,-1,4953
Metab__2818,1,3355
Metab__1690,1,472
Metab__3914,-1,154
Metab__4411,-1,153
Metab__4411,-1,153
Metab__274,1,4953
Metab__5994,1,5241
Metab__238,1,8663
Metab__5328940,-1,5605
Metab__6505803,1,3308
Metab__681,1,5617
Metab__681,-1,5617
Metab__4819,1,1128
Metab__4819,1,1128
Metab__51577,-1,2548
Metab__9782,1,2908
Metab__977,1,5592
Metab__164437,1,57413
Metab__443375,-1,886
Metab__176872,-1,2475
Metab__3640,-1,5617
Metab__2145,-1,1583
Metab__5381226,1,1555
Metab__985,1,5743
Metab__2801,-1,3356
Metab__60795,-1,3359
Metab__155815,-1,5320
Metab__6323490,1,1576
Metab__23994,-1,10423
Metab__77998,1,5468
Metab__68570,1,3479
Metab__68570,-1,3479
Metab__47811,1,150
Metab__33625,-1,148
Metab__4095,-1,9606.ENSP00000353820
Metab__13849,1,2641
Metab__119,1,339403
Metab__14888,1,4363
Metab__98112,-1,169355
Metab__8230,-1,552
Metab__2125,-1,1268
Metab__450,1,4846
Metab__985,1,7296
Metab__813,1,9606.ENSP00000274335
Metab__11597571,-1,238
Metab__3038,-1,760
Metab__11009,1,5621
Metab__985,1,2180
Metab__2803,1,3356
Metab__888,1,3612
Metab__47811,1,152
Metab__5280934,1,34
Metab__122316,-1,4129
Metab__985,1,1374
Metab__63090,1,9606.ENSP00000260630
Metab__3661,-1,2520
Metab__3394,-1,5742
Metab__3062316,-1,5159
Metab__3062316,-1,1956
Metab__1541,1,1269
Metab__26644,-1,4986
Metab__160,1,5743
Metab__455658,1,3162
Metab__5056,-1,1543
Metab__702,1,2335
Metab__24936,-1,6713
Metab__284995,-1,10988
Metab__5359596,1,7157
Metab__3750,-1,7150
Metab__985,1,1581
Metab__5291,-1,3815
Metab__444899,1,2180
Metab__784,1,581
Metab__448537,-1,2064
Metab__2719,-1,5604
Metab__2477,1,5617
Metab__4745,1,9606.ENSP00000313661
Metab__5374,-1,150
Metab__449193,-1,5142
Metab__60795,1,1813
Metab__60795,-1,1813
Metab__9939609,-1,7941
Metab__4543,-1,6532
Metab__2232,-1,2147
Metab__2733525,-1,5578
Metab__6918172,-1,9606.ENSP00000265023
Metab__446541,-1,3615
Metab__93860,-1,9451
Metab__3922,1,6256
Metab__338,-1,5742
Metab__4259,-1,7153
Metab__2767,1,11200
Metab__4973,-1,9572
Metab__5032,-1,6531
Metab__3158,-1,1133
Metab__5656,-1,6530
Metab__778,-1,23576
Metab__271,1,2978
Metab__216239,-1,5979
Metab__1205,-1,1131
Metab__6076,1,7225
Metab__4713,-1,3569
Metab__3931,1,27242
Metab__3220,-1,1457
Metab__6436173,1,8856
Metab__71360,-1,3362
Metab__128563,1,4986
Metab__784,1,5581
Metab__23663989,-1,240
Metab__4038180,1,148
Metab__2185,1,7442
Metab__4636,1,9606.ENSP00000387281
Metab__5002,-1,148
Metab__4091,1,6517
Metab__283,1,7351
Metab__3937,-1,183
Metab__72054,-1,1133
Metab__73292,-1,1019
Metab__4168,1,5617
Metab__4585,-1,147
Metab__4624,1,11315
Metab__838,1,153
Metab__838,1,153
Metab__3062316,-1,6714
Metab__5761,1,3357
Metab__4691,-1,6530
Metab__5311080,1,4988
Metab__271,1,5588
Metab__5768,-1,9606.ENSP00000353820
Metab__3339,-1,1401
Metab__271,1,5532
Metab__6830,1,9606.ENSP00000353564
Metab__6439874,1,90865
Metab__231,1,1579
Metab__89594,1,1137
Metab__5833,-1,4306
Metab__5283731,-1,5741
