source,sign,target
Metab__1639,-1,847
Metab__2125,-1,1268
Metab__446220,-1,4846
Metab__5251896,-1,1803
Metab__5280450,1,57761
Metab__3869,-1,148
Metab__3869,-1,148
Metab__3962,1,4846
Metab__4630,1,1132
Metab__107867,-1,1129
Metab__5280934,1,2180
Metab__1727,-1,3736
Metab__3488,-1,54795
Metab__985,1,336
Metab__2435,1,152
Metab__2435,1,152
Metab__5284373,-1,5530
Metab__107807,-1,1636
Metab__806,1,3705
Metab__2818,-1,3363
Metab__64139,1,1576
Metab__985,1,1374
Metab__4380,-1,4128
Metab__4380,-1,4128
Metab__702,1,4846
Metab__60184,-1,9606.ENSP00000464149
Metab__5452,-1,147
Metab__160,1,5737
Metab__860,1,50486
Metab__60146,-1,146
Metab__60146,-1,146
Metab__163976,-1,4860
Metab__6256,-1,7298
Metab__231,1,4899
Metab__702,1,7124
Metab__2818,-1,3362
Metab__5311,-1,8841
Metab__148123,1,1890
Metab__77998,1,948
Metab__5097,-1,983
Metab__446157,-1,3156
Metab__10096344,-1,1803
Metab__6076,1,7222
Metab__271,1,816
Metab__5289419,-1,1020
Metab__9750,1,4846
Metab__3077,1,59340
Metab__2512,1,1814
Metab__3158,-1,1131
Metab__3387,1,367
Metab__5002,-1,146
Metab__784,1,5595
Metab__123631,-1,6714
Metab__31703,1,5243
Metab__271,1,5255
Metab__24798684,1,2641
Metab__158348,-1,554
Metab__985,1,4801
Metab__271,1,826
Metab__784,-1,5444
Metab__25201794,-1,1429
Metab__271,1,9606.ENSP00000293813
Metab__9750,-1,384
Metab__232,1,2641
Metab__985,1,4862
Metab__5280754,-1,4772
Metab__5022,1,57413
Metab__60943,-1,552
Metab__5280453,1,1956
Metab__2378,-1,1595
Metab__6083,1,5836
Metab__667490,-1,3251
Metab__9812414,-1,64131
Metab__8974,1,134
Metab__271,1,857
Metab__1060,-1,8050
Metab__21855,-1,3269
Metab__439234,-1,107080644
Metab__1727,-1,3738
Metab__3081361,-1,1956
Metab__6076,1,7224
Metab__5281767,1,1080
Metab__1158,-1,2992
Metab__4112,-1,1719
Metab__2250,-1,9606.ENSP00000309757
Metab__612,1,6566
Metab__6169,-1,3351
Metab__1690,1,207
Metab__23925,1,130013
Metab__23925,-1,130013
Metab__104742,1,4986
Metab__11009,1,5621
Metab__774,-1,3356
Metab__2909,1,5530
Metab__2909,-1,5530
Metab__5184,-1,1128
Metab__5184,-1,1128
Metab__32798,1,2908
Metab__439501,-1,476
Metab__5329102,-1,2321
Metab__16760281,-1,207
Metab__942,1,1141
Metab__271,1,5582
Metab__1593,1,1591
Metab__5401,-1,148
Metab__5401,-1,148
Metab__196968,-1,3357
Metab__71360,-1,148
Metab__5252,-1,231
Metab__216239,-1,2322
Metab__888,1,5631
Metab__77998,1,7351
Metab__2244,-1,6403
Metab__774,1,3269
Metab__774,1,3269
Metab__65999,-1,185
Metab__65999,-1,185
Metab__2119,-1,154
Metab__82148,-1,3358
Metab__82148,-1,3358
Metab__5994,1,2166
Metab__3715,1,5468
Metab__216239,-1,3791
Metab__5997,1,1581
Metab__3779,1,5972
Metab__16078986,-1,5031
Metab__36736,1,5972
Metab__271,1,9606.ENSP00000290575
Metab__5488822,1,142
Metab__5466,-1,6529
Metab__5403,1,154
Metab__5403,1,154
Metab__60149,-1,3757
Metab__4495,-1,5743
Metab__60795,-1,147
Metab__26644,-1,4986
Metab__26644,-1,4986
Metab__612,1,9606.ENSP00000349478
Metab__2733525,-1,2305
Metab__3385,1,5743
Metab__2160,-1,3350
Metab__5005,-1,1636
Metab__5287541,-1,412
Metab__312145,-1,9606.ENSP00000274335
Metab__5637,-1,5594
Metab__123631,1,1956
Metab__123631,-1,1956
Metab__5038,-1,1636
Metab__1798,-1,760
Metab__4926,-1,1133
Metab__5281767,1,842
Metab__2676,-1,3156
Metab__271,1,816
Metab__3931,1,6667
Metab__4920,-1,5241
Metab__446284,1,11010
Metab__4828,1,153
Metab__60795,-1,3363
Metab__2796,1,5465
Metab__4488,-1,1187
Metab__24812758,-1,6524
Metab__5328779,-1,3717
Metab__124087,-1,3269
Metab__60795,-1,147
Metab__448537,1,7422
Metab__2767,1,836
Metab__238,1,6234
Metab__446284,1,183
Metab__76,-1,2539
Metab__271,-1,4137
Metab__985,1,335
Metab__68601,1,152
Metab__1220,1,3356
Metab__1935,-1,590
Metab__2891,-1,10157
Metab__3054,1,2957
Metab__409805,-1,5879
Metab__2726,-1,147
Metab__10182969,-1,2159
Metab__2818,-1,1128
Metab__443379,-1,183
Metab__5454,-1,1813
Metab__5454,-1,1813
Metab__2767,1,2067
Metab__860,1,3992
Metab__3032,-1,5742
Metab__860,1,9606.ENSP00000327315
Metab__4635,1,4985
Metab__4635,1,4985
Metab__1103,-1,4953
Metab__60822,-1,9606.ENSP00000309757
Metab__5328940,-1,5604
Metab__3931,1,116519
Metab__444899,1,335
Metab__5862,-1,1621
Metab__5202,1,3357
Metab__5282280,1,1268
Metab__5291,-1,5159
Metab__2519,-1,472
Metab__457928,-1,834
Metab__11167602,-1,2324
Metab__3715,1,5468
Metab__3823,-1,1595
Metab__3908,1,10800
Metab__60853,-1,1814
Metab__3461,-1,6240
Metab__1615,-1,6532
Metab__5280343,1,5599
Metab__446284,1,2182
Metab__2578,-1,2936
Metab__985,1,5465
Metab__784,1,836
Metab__2812,-1,1576
Metab__9910951,1,5465
Metab__231,1,27242
Metab__5625,-1,1576
Metab__82148,1,4544
Metab__82148,1,4544
Metab__2662,1,7157
Metab__985,1,1490
Metab__13849,1,2695
Metab__155815,-1,5320
Metab__63090,1,1543
Metab__1023,-1,10423
Metab__24812758,-1,6524
Metab__3177,-1,5743
Metab__271,1,5578
Metab__9841667,-1,3579
Metab__4631,-1,154
Metab__2585,-1,146
Metab__6597,-1,2954
Metab__47795,-1,240
Metab__24360,-1,7150
Metab__124908,-1,3614
Metab__985,1,211
Metab__774,-1,3356
Metab__5493444,-1,5972
Metab__5734,-1,4129
Metab__444899,1,183
Metab__10836,-1,9606.ENSP00000298472
Metab__238,1,6193
Metab__27287,-1,3162
Metab__2585,-1,148
Metab__2995,-1,148
Metab__2769,1,3356
Metab__762,1,8894
Metab__15096371,-1,9606.ENSP00000369519
Metab__2092,-1,146
Metab__60834,-1,6532
Metab__146,-1,107080644
Metab__33624,-1,153
Metab__5591,-1,4609
Metab__133090,-1,6870
Metab__1003,-1,22978
Metab__1690,1,836
Metab__2160,-1,150
Metab__2170,-1,3269
Metab__3032,-1,5742
Metab__3413,1,107
Metab__197,1,64805
Metab__2170,-1,6530
Metab__5281,1,2641
Metab__3937,-1,183
Metab__5957,1,6230
Metab__1271002,-1,4609
Metab__1645,-1,142
Metab__446284,1,1579
Metab__2092,-1,148
Metab__445639,1,2641
Metab__3295,-1,760
Metab__928,1,8050
Metab__5470,-1,6462
Metab__8223,1,3358
Metab__274,1,59341
Metab__5538,1,3576
Metab__5881,1,5465
Metab__145068,1,4313
Metab__11364421,-1,5347
Metab__4585,-1,3357
Metab__3519,1,152
Metab__9681,-1,3363
Metab__2552,1,5731
Metab__65064,1,836
Metab__3696,-1,6532
Metab__71398,-1,240
Metab__1967,-1,240
Metab__5280453,-1,3558
Metab__762,1,5599
Metab__912,1,11255
Metab__66370,1,2641
Metab__5090,-1,5743
Metab__24812758,-1,6523
Metab__440038,1,3075
Metab__445154,1,836
Metab__5957,-1,5563
Metab__2405,-1,154
Metab__446378,1,836
Metab__9892480,1,154
Metab__121964,1,886
Metab__169317,-1,136
Metab__71362,-1,9606.ENSP00000307713
Metab__71362,-1,9606.ENSP00000307713
Metab__158796,1,846
Metab__2083,1,154
Metab__2083,1,154
Metab__478,1,207
Metab__2866,-1,3357
Metab__2866,-1,3357
Metab__442783,-1,595
Metab__3066,1,150
Metab__5361917,-1,4986
Metab__63951,1,154
Metab__134044,-1,154
Metab__155773,1,153
Metab__3391,1,5733
Metab__2284,1,2550
Metab__2284,1,2550
Metab__1032,1,2867
Metab__16078,1,1269
Metab__16078,1,1269
Metab__5056,-1,10135
Metab__4926,-1,148
Metab__16133798,-1,1395
Metab__942,1,1138
Metab__2826,1,2353
Metab__985,1,4800
Metab__656635,-1,2147
Metab__5376,-1,7490
Metab__55751,-1,3362
Metab__280,-1,3552
Metab__5280450,1,5465
Metab__145068,1,3576
Metab__803,-1,883
Metab__6001,1,1543
Metab__10282255,1,5582
Metab__5280793,1,7421
Metab__216239,-1,2260
Metab__2514,1,3162
Metab__3648,1,4988
Metab__8515,-1,5599
Metab__27991,1,554
Metab__6437849,-1,1717
Metab__12547,1,9606.ENSP00000260433
Metab__836,1,1813
Metab__4585,-1,147
Metab__5311080,1,4985
Metab__77998,1,5465
Metab__5282381,1,5734
Metab__444,-1,6531
Metab__4036,-1,5742
Metab__5002,-1,3356
Metab__5002,-1,3356
Metab__3062316,-1,3932
Metab__3157,1,5972
Metab__65856,-1,6530
Metab__446284,1,1376
Metab__1674,1,1543
Metab__129211,-1,148
Metab__129211,-1,148
Metab__2552,1,5733
Metab__2662,-1,5743
Metab__446284,1,2181
Metab__3696,-1,1131
Metab__123611,-1,2159
Metab__274,1,1390
Metab__5287969,-1,1025
Metab__5311023,-1,4852
Metab__16659841,-1,6774
Metab__5280343,1,836
Metab__2230,1,3576
Metab__3692,1,59340
Metab__455658,1,3162
Metab__115237,-1,1813
Metab__17754772,-1,3716
Metab__54477,-1,1813
Metab__6076,1,5906
Metab__2206,-1,5742
Metab__2193,1,8644
Metab__176155,-1,1432
Metab__2818,-1,9606.ENSP00000327652
Metab__39042,1,5467
Metab__280,-1,3552
Metab__544,1,207
Metab__3696,1,3350
Metab__644213,-1,5468
Metab__5957,1,6191
Metab__681,1,153
Metab__5328779,-1,6774
Metab__3117,-1,7915
Metab__107758,1,207
Metab__5936,-1,590
Metab__439260,1,153
Metab__238,1,8661
Metab__5538,1,836
Metab__3100,-1,3269
Metab__57469,1,51311
Metab__85,1,1374
Metab__186004,1,22978
Metab__5284596,-1,5173
Metab__7420,-1,23498
Metab__6605258,-1,472
Metab__89594,1,207
Metab__5408,1,367
Metab__16126651,-1,695
Metab__60919,-1,185
Metab__16078,1,836
Metab__4235,-1,4128
Metab__4828,1,154
Metab__444899,1,5578
Metab__44093,-1,1636
Metab__13849,1,2641
Metab__1224,1,1816
Metab__3658,-1,3269
Metab__274,1,154
Metab__2995,-1,1131
Metab__11228183,1,10018
Metab__6830,1,8894
Metab__5362449,1,4988
Metab__10163178,-1,1956
Metab__896,1,4543
Metab__896,1,4543
Metab__191,1,7852
Metab__3117,-1,7915
Metab__1060,-1,1738
Metab__3818,1,153
Metab__3715,-1,3553
Metab__27991,1,7450
Metab__1986,-1,358
Metab__71360,-1,1815
Metab__5372,-1,4772
Metab__5213,-1,4318
Metab__73755113,-1,3162
Metab__2585,-1,147
Metab__2242,1,83756
Metab__4629,1,1132
Metab__3440,-1,6557
Metab__439284,1,2992
Metab__238,1,1977
Metab__77998,1,5105
Metab__9085,-1,383
Metab__216235,-1,1909
Metab__32014,1,3484
Metab__4666,1,1576
Metab__888,1,9606.ENSP00000354519
Metab__1690,1,5243
Metab__2390,-1,3717
Metab__5280961,-1,207
Metab__9863167,-1,1889
Metab__23994,1,5340
Metab__16004692,-1,1910
Metab__5005498,-1,983
Metab__295,1,5593
Metab__23930,-1,10157
Metab__2770,1,842
Metab__72054,-1,1131
Metab__72054,-1,1131
Metab__2520,-1,8913
Metab__5957,1,6205
Metab__283,-1,207
Metab__5312115,1,155
Metab__4585,-1,1132
Metab__24776445,-1,2735
Metab__681,1,9606.ENSP00000327652
Metab__681,1,9606.ENSP00000327652
Metab__459617,-1,9682
Metab__4168,1,3360
Metab__4763,1,1559
Metab__60853,-1,9606.ENSP00000313661
Metab__60853,1,9606.ENSP00000313661
Metab__985,1,27063
Metab__2519,1,6263
Metab__5280453,1,9606.ENSP00000458149
Metab__271,1,5532
Metab__10315623,-1,1803
Metab__216239,-1,2321
Metab__271,1,5879
Metab__32281,1,5617
Metab__5591,1,7157
Metab__5546,-1,6338
Metab__33624,-1,154
Metab__439260,1,150
Metab__446156,-1,22796
Metab__1669,-1,1312
Metab__271,1,2160
Metab__164437,1,134
Metab__4536,1,5241
Metab__238,1,8668
Metab__11181459,1,340061
Metab__5280450,1,335
Metab__77993,1,3351
Metab__77993,1,3351
Metab__5428,1,836
Metab__6022,-1,3795
Metab__145068,1,3162
Metab__274,1,6833
Metab__5994,1,1956
Metab__446284,1,336
Metab__54454,-1,338
Metab__271,1,846
Metab__31100,1,9606.ENSP00000313661
Metab__408895,1,3162
Metab__3009,-1,4953
Metab__3696,-1,1128
Metab__2866,-1,3354
Metab__219050,1,3350
Metab__3062316,-1,6777
Metab__5280493,1,10800
Metab__611,-1,10157
Metab__5206,1,836
Metab__3915,1,23620
Metab__5280450,1,8800
Metab__6830,1,10640
Metab__5997,-1,29881
Metab__448537,1,5021
Metab__77998,-1,4318
Metab__3054,1,5241
Metab__11167602,-1,3791
Metab__3488,-1,1080
Metab__271,-1,140838
Metab__16129675,1,1508
Metab__54459,-1,9606.ENSP00000387281
Metab__192866,1,5578
Metab__5757,-1,2796
Metab__5281969,1,1268
Metab__5281969,1,1268
Metab__11009,1,9843
Metab__26721,1,4985
Metab__2551,1,1132
Metab__774,1,10316
Metab__23925,1,121642
Metab__2170,-1,3356
Metab__985,1,5743
Metab__5280754,1,5533
Metab__5311,-1,8841
Metab__104895,1,1269
Metab__4748,-1,1813
Metab__2170,-1,6532
Metab__408,1,207
Metab__5746,1,5888
Metab__965,1,2641
Metab__107780,1,3354
Metab__3696,-1,148
Metab__10182969,-1,2159
Metab__3081361,-1,7422
Metab__231,1,1490
Metab__439520,1,151306
Metab__448537,1,51807
Metab__238,-1,196527
Metab__214,1,5734
Metab__5280343,-1,1558
Metab__702,-1,6517
Metab__1674,1,1543
Metab__5304,-1,2617
Metab__5833,-1,2908
Metab__25244885,-1,4128
Metab__3345,1,4986
Metab__151171,-1,552
Metab__151171,-1,552
Metab__2471,-1,57468
Metab__2770,1,836
Metab__4091,1,2641
Metab__941651,-1,1813
Metab__238,1,5029
Metab__238,1,5029
Metab__439260,1,1392
Metab__2818,-1,148
Metab__8223,1,3355
Metab__206,1,2641
Metab__5311080,1,4988
Metab__176870,-1,1950
Metab__5994,1,5617
Metab__5994,-1,5617
Metab__3696,-1,3757
Metab__271,1,5532
Metab__160355,-1,1017
Metab__72022,-1,1636
Metab__224,1,5562
Metab__4679,-1,495
Metab__3007,-1,9606.ENSP00000298472
Metab__2771,-1,6530
Metab__5310984,1,2913
Metab__5073,-1,9606.ENSP00000313661
Metab__5694,1,5054
Metab__307,1,8989
Metab__5464096,-1,183
Metab__544,1,2099
Metab__54313,1,5731
Metab__5291,-1,1436
Metab__2733525,-1,5578
Metab__2913,-1,3269
Metab__2818,-1,3269
Metab__5056,1,2308
Metab__5732,1,9606.ENSP00000359334
Metab__444899,1,4802
Metab__274,1,3767
Metab__2733525,-1,7490
Metab__102614,1,2100
Metab__151171,-1,552
Metab__151171,-1,552
Metab__3640,1,9606.ENSP00000309757
Metab__5056,1,3162
Metab__202225,-1,1576
Metab__5280343,1,367
Metab__60606,-1,1555
Metab__11524144,-1,471
Metab__5230,1,9568
Metab__3478,-1,6833
Metab__4636,1,9606.ENSP00000387281
Metab__3715,1,11251
Metab__1102,-1,4953
Metab__4636,1,152
Metab__24261,1,3576
Metab__4763,1,1559
Metab__2891,1,130013
Metab__5426,-1,7422
Metab__60853,-1,9606.ENSP00000387281
Metab__154058,-1,1132
Metab__16960,-1,3269
Metab__60795,-1,3356
Metab__123620,1,2908
Metab__238,1,6224
Metab__238,1,3553
Metab__176872,-1,2475
Metab__4636,1,148
Metab__5160,-1,3356
Metab__860,1,4862
Metab__54676905,-1,695
Metab__71360,-1,9606.ENSP00000327652
Metab__5203,-1,6532
Metab__179394,1,2916
Metab__4163,-1,3358
Metab__5405,-1,3757
Metab__5280450,1,1490
Metab__4205,-1,150
Metab__4205,-1,150
