pubchem,metabs_sorted
Metab__lneldccoa,53
Metab__445049,53
Metab__92135,52
Metab__53477817,52
Metab__271,52
Metab__975,52
Metab__16061156,52
Metab__53477837,52
Metab__445354,51
Metab__91443,51
Metab__pail5p_hs,51
Metab__53481548,51
Metab__M02612,51
Metab__M00123,51
Metab__24316,50
Metab__5312508,50
Metab__444791,50
Metab__23657849,50
Metab__440611,50
Metab__M00213,50
Metab__Ndmelys,50
Metab__439260,49
Metab__65070,49
Metab__91486,49
Metab__5920,49
Metab__69507,49
Metab__M00101,49
Metab__65091,48
Metab__6435286,48
Metab__6450015,48
Metab__5353955,48
Metab__M00129,48
Metab__M01141,48
Metab__M01191,48
Metab__M00127,48
Metab__M02052,48
Metab__M00006,48
Metab__M00343,48
Metab__M00023,48
Metab__8583,47
Metab__445063,47
Metab__c226coa,47
Metab__971,47
Metab__CE5151,47
Metab__M00115,47
Metab__M00260,47
Metab__M00315,47
Metab__M00265,47
Metab__46173176,46
Metab__6426855,46
Metab__309,46
Metab__439231,45
Metab__5280352,45
Metab__6831,45
Metab__446284,45
Metab__753,45
Metab__sphmyln_hs,45
Metab__265,44
Metab__13711,44
Metab__pail34p_hs,44
Metab__487,44
Metab__CE5155,44
Metab__96023992,44
Metab__12594,43
Metab__444972,43
Metab__5958,43
Metab__5280745,43
Metab__HC02194,43
Metab__123743,42
Metab__bildglcur,42
Metab__445580,42
Metab__53477686,42
Metab__448457,42
Metab__CE4854,42
Metab__53477830,42
Metab__arachdcrn,41
Metab__5281120,41
Metab__439586,41
Metab__pail345p_hs,41
Metab__M00018,41
Metab__439498,40
Metab__970,40
Metab__odecrn,40
Metab__23724644,40
Metab__5282761,40
Metab__53477846,40
Metab__23724649,40
Metab__751,40
Metab__53477834,40
Metab__5789,40
Metab__10133,40
Metab__168381,40
Metab__151725,39
Metab__439350,39
Metab__439573,39
Metab__1123,39
Metab__bilglcur,39
Metab__6076,39
Metab__6802,39
Metab__16395893,39
Metab__ptdcacoa,39
Metab__1100,39
Metab__880,38
Metab__1014,38
Metab__61503,38
Metab__dlnlcgcrn,38
Metab__5280933,38
Metab__887,38
Metab__439162,38
Metab__53477819,38
Metab__53477835,38
Metab__tmndnccrn,38
Metab__CE4847,38
Metab__5356421,38
Metab__M00004,38
Metab__M01237,38
Metab__5282379,37
Metab__44348689,37
Metab__5280934,37
Metab__5819,37
Metab__24892792,37
Metab__5283202,37
Metab__5283203,37
Metab__M00116,37
Metab__atvacid,37
Metab__58,36
Metab__1,36
Metab__5280581,36
Metab__18950,36
Metab__3081088,36
Metab__M01724,36
Metab__M02637,36
Metab__5202,35
Metab__5280778,35
Metab__239,35
Metab__774,35
Metab__11197,35
Metab__5281,35
