pubchem,metabs_sorted
Metab__tyrglu,12
Metab__tyrleuarg,12
Metab__tyrphetyr,12
Metab__tyrthr,12
Metab__tyrtrpphe,12
Metab__tyrtyr,12
Metab__tyrvalmet,12
Metab__valarggly,12
Metab__valhisasn,12
Metab__valleuphe,12
Metab__vallystyr,12
Metab__valphearg,12
Metab__valprotrp,12
Metab__valserarg,12
Metab__valtrpphe,12
Metab__valtrpval,12
Metab__valval,12
Metab__trpglyasp,12
Metab__M00879,12
Metab__M02035,12
Metab__M02467,12
Metab__1331tacr,12
Metab__1531tacr,12
Metab__2hatvacidgluc,12
Metab__2hatvlacgluc,12
Metab__35dsmv,12
Metab__6msmv,12
Metab__6melvacid,12
Metab__lstnm1,12
Metab__lstnm2,12
Metab__lstnm5,12
Metab__nfdnpy,12
Metab__ptvstlac,12
Metab__tlacfvs,12
Metab__tmdm1,12
Metab__ptvstm13,12
Metab__5283731,11
Metab__75810,11
Metab__1669,11
Metab__144,11
Metab__65543,11
Metab__3ohxccoa,11
Metab__acgalfucgalacgalfuc12gal14acglcgalgluside_hs,11
Metab__acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs,11
Metab__acn13acngalgbside_hs,11
Metab__acn23acngalgbside_hs,11
Metab__acnacngalgbside_hs,11
Metab__ksii_core4_pre4,11
Metab__ksii_core4_pre7,11
Metab__ksii_core2_pre2,11
Metab__ksii_core2_pre4,11
Metab__ksii_core2_pre7,11
Metab__Rtotal2coa,11
Metab__sgalside_hs,11
Metab__acglcgalgluside_hs,11
Metab__13804,11
Metab__cspg_a,11
Metab__71070,11
Metab__m3gacpail_prot_hs,11
Metab__ebastineoh,11
Metab__3191,11
Metab__11966220,11
Metab__fucacngalacglcgalgluside_hs,11
Metab__fucfuc12gal14acglcgalgluside_hs,11
Metab__fucfuc132galacglcgal14acglcgalgluside_hs,11
Metab__fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs,11
Metab__fucfucfucgalacglcgal14acglcgalgluside_hs,11
Metab__fucfucgalacglcgalgluside_hs,11
Metab__fucgal14acglcgalgluside_hs,11
Metab__fucgalgbside_hs,11
Metab__galacglcgalgbside_hs,11
Metab__galfuc12gal14acglcgalgluside_hs,11
Metab__galfucgalacglcgal14acglcgalgluside_hs,11
Metab__galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs,11
Metab__galgalgalthcrm_hs,11
Metab__gd1b2_hs,11
Metab__gp1c_hs,11
Metab__gp1calpha_hs,11
Metab__hspg,11
Metab__26840,11
Metab__108192,11
Metab__11954197,11
Metab__ksii_core4_pre3,11
Metab__ksii_core2_pre3,11
Metab__135,11
Metab__5280797,11
Metab__84571,11
Metab__21100,11
Metab__3614,11
Metab__439455,11
Metab__65065,11
Metab__439224,11
Metab__5779,11
Metab__ksii_core4_pre5,11
Metab__ksii_core4_pre8,11
Metab__ksii_core2_pre5,11
Metab__ksii_core2_pre8,11
Metab__1150,11
Metab__402,11
Metab__644175,11
Metab__1052,11
Metab__1054,11
Metab__439396,11
Metab__HC10858,11
Metab__CE5026,11
Metab__946,11
Metab__CE5125,11
Metab__CE2437,11
Metab__CE5116,11
Metab__6246154,11
Metab__3tetd7ecoa,11
Metab__3ttetddcoa,11
Metab__3hdeccoa,11
Metab__3thexddcoa,11
Metab__3octdece1coa,11
Metab__3ocddcoa,11
Metab__49859586,11
Metab__octdececoa,11
Metab__588,11
Metab__18189,11
Metab__185,11
Metab__acgly,11
Metab__acthr_L,11
Metab__peste_hs,11
Metab__acile_L,11
Metab__acleu_L,11
Metab__achom_L,11
Metab__gncore1,11
Metab__3ohglutac,11
Metab__12835,11
Metab__558,11
Metab__96215,11
Metab__439402,11
Metab__CE6246,11
Metab__M00790,11
Metab__M00778,11
Metab__M00702,11
Metab__3ohacmp,11
Metab__5ohfvsglu,11
Metab__6ohfvsglu,11
Metab__am1accs,11
Metab__epoxtac,11
Metab__fvstet,11
Metab__fvstetglu,11
Metab__glc3meacp,11
Metab__lstn1gluc,11
Metab__lstnm4,11
Metab__mdzglc,11
Metab__tmdm3,11
Metab__tmdm5,11
Metab__10fthf7glu,10
Metab__22833566,10
Metab__18665256,10
Metab__143,10
Metab__53477856,10
Metab__53477854,10
Metab__215,10
Metab__acgagbside_hs,10
Metab__acgbgbside_hs,10
Metab__ksii_core4_pre2,10
Metab__alpa_hs,10
Metab__443078,10
Metab__Rtotalcoa,10
Metab__Rtotal3,10
Metab__93072,10
Metab__gd2_hs,10
Metab__acglcgal14acglcgalgluside_hs,10
Metab__chtn,10
Metab__115255,10
Metab__glygn4,10
Metab__439250,10
Metab__retfa,10
Metab__strch2,10
Metab__122196,10
Metab__10883523,10
Metab__105021,10
Metab__galacglcgalgluside_hs,10
Metab__439452,10
Metab__11850,10
Metab__152304,10
Metab__440018,10
Metab__91493,10
Metab__5289590,10
Metab__1237,10
Metab__439176,10
Metab__193321,10
Metab__121948,10
Metab__65094,10
Metab__121885,10
Metab__cs_e_pre4,10
Metab__5780,10
Metab__439415,10
Metab__53297342,10
Metab__HC01700,10
Metab__227,10
Metab__164735,10
Metab__5699,10
Metab__46224537,10
Metab__246520,10
Metab__10663203,10
Metab__404025,10
Metab__169485,10
Metab__53481566,10
Metab__53481583,10
Metab__53481582,10
Metab__1864,10
Metab__546304,10
Metab__193872,10
Metab__5781,10
Metab__CE4806,10
Metab__CE5156,10
Metab__21158465,10
Metab__3bcrn,10
Metab__10245190,10
Metab__53481651,10
Metab__53481669,10
Metab__3deccrn,10
Metab__ddece1crn,10
Metab__3ddcrn,10
Metab__22833575,10
Metab__3tetd7ecoacrn,10
Metab__tetdec2crn,10
Metab__3ttetddcoacrn,10
Metab__3tdcrn,10
Metab__3hdececrn,10
Metab__3thexddcoacrn,10
Metab__566787,10
Metab__53481691,10
Metab__3octdece1crn,10
Metab__3octdec2crn,10
Metab__3octdeccrn,10
Metab__6426851,10
Metab__22833596,10
Metab__53481622,10
Metab__53481667,10
Metab__3ivcrn,10
Metab__5460362,10
Metab__11163,10
Metab__79101,10
Metab__94244,10
Metab__15kprostgf2,10
Metab__sphmyln180241_hs,10
Metab__sphmyln18114_hs,10
Metab__sphmyln18115_hs,10
Metab__sphmyln18116_hs,10
Metab__sphmyln181161_hs,10
Metab__sphmyln18117_hs,10
Metab__sphmyln18118_hs,10
Metab__sphmyln181181_hs,10
Metab__sphmyln18120_hs,10
Metab__sphmyln181201_hs,10
Metab__sphmyln18121_hs,10
Metab__sphmyln18122_hs,10
Metab__sphmyln181221_hs,10
Metab__sphmyln18123_hs,10
Metab__sphmyln1824_hs,10
Metab__sphmyln1825_hs,10
Metab__pheacgly,10
Metab__92843,10
Metab__thexdd,10
Metab__hexdtr,10
Metab__hpdece,10
Metab__5eipenc,10
Metab__53480357,10
Metab__5312983,10
Metab__HC02042,10
Metab__M00049,10
Metab__M03016,10
Metab__M00849,10
Metab__M00885,10
Metab__cysacmp,10
Metab__ndersv,10
Metab__rsvlac,10
Metab__fvscoa,10
Metab__profvscoa,10
Metab__457,9
Metab__80349,9
Metab__44263365,9
Metab__439255,9
Metab__439371,9
Metab__strch1,9
Metab__439195,9
Metab__4mzym_int1,9
Metab__cspg_c,9
Metab__cspg_e,9
Metab__439316,9
Metab__23dpg,9
Metab__11_cis_retfa,9
Metab__9_cis_retfa,9
Metab__439957,9
Metab__17106,9
Metab__24759,9
Metab__ksii_core2,9
Metab__ksii_core4,9
Metab__9322,9
Metab__galfucgalacglcgalgluside_hs,9
Metab__core4,9
Metab__cs_a_b_pre3,9
Metab__439233,9
Metab__780,9
Metab__102030,9
Metab__439744,9
Metab__7405,9
Metab__160617,9
Metab__160520,9
Metab__5280490,9
Metab__7427,9
Metab__107812,9
Metab__54456,9
Metab__CE5025,9
Metab__CE4834,9
Metab__tetdec2coa,9
Metab__65110,9
Metab__glyc2p,9
Metab__21hprgnlone,9
Metab__6439848,9
Metab__1589,9
Metab__tetdeca511ac,9
Metab__68841,9
Metab__440862,9
Metab__M02683,9
Metab__M01989,9
Metab__M00783,9
Metab__M00715,9
Metab__M03019,9
Metab__M03022,9
Metab__3hsmv,9
Metab__6csmv,9
Metab__6hmsmv,9
Metab__6ohfvs,9
Metab__am1cglc,9
Metab__csasulp,9
Metab__desfvs,9
Metab__dhglz,9
Metab__gtacmp,9
Metab__ptvstm3,9
Metab__tsacmgluc,9
Metab__3meacmp,9
Metab__6hlvstacid,9
Metab__2425dhvitd2,8
Metab__2425dhvitd3,8
Metab__3hanthrn,8
Metab__440606,8
Metab__440604,8
Metab__8299,8
Metab__14671060,8
Metab__91508,8
Metab__6654,8
Metab__galgbside_hs,8
Metab__160663,8
Metab__carveol,8
Metab__281,8
Metab__323,8
Metab__cspg_b,8
Metab__cspg_d,8
Metab__chlstol,8
Metab__22833524,8
Metab__92729,8
Metab__22833604,8
Metab__2mp2coa,8
Metab__14985,8
Metab__5281426,8
Metab__379,8
Metab__10819,8
Metab__5280483,8
Metab__443233,8
Metab__5311445,8
Metab__511,8
Metab__119207,8
Metab__439313,8
Metab__acngal14acglcgalgluside_hs,8
Metab__ksii_core4_pre6,8
Metab__ksii_core4_pre9,8
Metab__ksii_core2_pre6,8
Metab__ksii_core2_pre9,8
Metab__cs_a_b_e_pre1,8
Metab__ggn,8
Metab__9305,8
Metab__193545,8
Metab__161234,8
Metab__pgp_hs,8
Metab__8988,8
Metab__cs_pre,8
Metab__440714,8
Metab__6058,8
Metab__3469,8
Metab__10690,8
Metab__1018,8
Metab__10964,8
Metab__182416,8
Metab__123689,8
Metab__440711,8
Metab__24820763,8
Metab__CE5629,8
Metab__134505,8
Metab__5281969,8
Metab__80283,8
Metab__36937,8
Metab__92810,8
Metab__53481564,8
Metab__53481568,8
Metab__10855600,8
Metab__5282280,8
Metab__99715,8
Metab__CE4795,8
Metab__53481421,8
Metab__CE5119,8
Metab__53481509,8
Metab__188277,8
Metab__5280915,8
Metab__5280914,8
Metab__CE4842,8
Metab__CE4798,8
Metab__CE4797,8
Metab__159663,8
Metab__5283128,8
Metab__204,8
Metab__114678,8
Metab__5283052,8
Metab__5283192,8
Metab__1766,8
Metab__c101coa,8
Metab__tetdece1coa,8
Metab__5280769,8
Metab__glyphe,8
Metab__115015,8
Metab__1066,8
Metab__439258,8
Metab__adpoh,8
Metab__phlac,8
Metab__hmcr,8
Metab__3032849,8
Metab__736715,8
Metab__Lhcystin,8
Metab__3mglutac,8
Metab__ppiogly,8
Metab__tiggly,8
Metab__eic21114tr,8
Metab__16061126,8
Metab__dopa4glcur,8
Metab__dopa3glcur,8
Metab__5cysdopa,8
Metab__phcrm_hs,8
Metab__phsphings,8
Metab__M01075,8
Metab__M00907,8
Metab__M00852,8
Metab__M00839,8
Metab__M00871,8
Metab__M00860,8
Metab__M00869,8
Metab__M00862,8
Metab__CE7091,8
Metab__M00172,8
Metab__M01573,8
Metab__M01881,8
Metab__3hlvst,8
Metab__nfdlac,8
Metab__tmacmp,8
Metab__3505109,7
Metab__515,7
Metab__107669,7
Metab__3656,7
Metab__5homeprazole,7
Metab__T_antigen,7
Metab__core2,7
Metab__fucgalacglcgalgluside_hs,7
Metab__439232,7
Metab__440940,7
Metab__445794,7
Metab__186907,7
Metab__2206,7
Metab__caro,7
Metab__249,7
Metab__44mzym,7
Metab__123727,7
Metab__597,7
Metab__439549,7
Metab__2966,7
Metab__92746,7
Metab__13_cis_oretn,7
Metab__104857,7
Metab__70335,7
Metab__122136,7
Metab__104756,7
Metab__htaxol,7
Metab__4485,7
Metab__931,7
Metab__4594,7
Metab__108063,7
Metab__92258,7
Metab__s2l2n2m2masn,7
Metab__36314,7
Metab__5505,7
Metab__79034,7
Metab__whttdca,7
Metab__xolest_hs,7
Metab__14844436,7
Metab__ksii_core2_pre1,7
Metab__ksi_deg26,7
Metab__ksi_deg29,7
Metab__ksi_deg35,7
Metab__ksi_deg38,7
Metab__ksii_core2_deg8,7
Metab__ksi_deg8,7
Metab__ksi_deg14,7
Metab__ksi_deg17,7
Metab__ksi_deg20,7
Metab__ksi_deg23,7
Metab__cs_hs_linkage,7
Metab__cs_a_b_pre2,7
Metab__cs_c_pre2,7
Metab__cs_d_pre3,7
Metab__cs_e_pre3,7
Metab__cs_c_d_e_pre1,7
Metab__hs_pre9,7
Metab__123938,7
Metab__em3gacpail_hs,7
Metab__em2emgacpail_hs,7
Metab__439869,7
Metab__440850,7
Metab__121893,7
Metab__151261,7
Metab__ksii_core4_pre1,7
Metab__hs_pre15,7
Metab__165067,7
Metab__440775,7
Metab__440776,7
Metab__HC01118,7
Metab__11966162,7
Metab__22212495,7
Metab__25229585,7
Metab__CE2245,7
Metab__152971,7
Metab__440623,7
Metab__92786,7
Metab__162602,7
Metab__247304,7
Metab__9943542,7
Metab__133098,7
Metab__CE5854,7
Metab__22833541,7
Metab__104806,7
Metab__CE4794,7
Metab__CE5157,7
Metab__CE5158,7
Metab__CE5853,7
Metab__thexddcoa,7
Metab__16950,7
Metab__3hpppnohgluc,7
Metab__3hpppn,7
Metab__and19one,7
Metab__69362,7
Metab__hmcarn,7
Metab__txb2,7
Metab__phacgly,7
Metab__galam,7
Metab__9988135,7
Metab__6442190,7
Metab__5287554,7
Metab__6289935,7
Metab__91637,7
Metab__5376507,7
Metab__10400369,7
Metab__150841,7
Metab__11970,7
Metab__actyr,7
Metab__nacvanala,7
Metab__2m3hbu,7
Metab__glutcon,7
Metab__3hivac,7
Metab__3hadpac,7
Metab__3ohsebac,7
Metab__3ohsubac,7
Metab__4ohbut,7
Metab__11141754,7
Metab__171161,7
Metab__C05767,7
Metab__1021,7
Metab__23dh1i56dio,7
Metab__4glu56dihdind,7
Metab__34dhpe,7
Metab__M03018,7
Metab__M03011,7
Metab__M03017,7
Metab__M03008,7
Metab__M03005,7
Metab__M03006,7
Metab__hnifedipine,7
Metab__M01966,7
Metab__M03131,7
Metab__caribup_R,7
Metab__meracmp,7
Metab__nfd,7
Metab__oxy1rb,7
Metab__6336410,7
Metab__profvs,7
Metab__sulpacmp,7
Metab__tauribup_S,7
Metab__thrfvs,7
Metab__ibupcoa_S,7
Metab__thsacmp,7
Metab__M01111,7
Metab__443212,6
Metab__decdp,6
Metab__18396,6
Metab__161255,6
Metab__101770,6
Metab__440854,6
Metab__ksi,6
Metab__827,6
Metab__s2l2fn2m2masn,6
Metab__92092,6
Metab__153005,6
Metab__acgalfucgalacglcgalgluside_hs,6
Metab__ksi_deg32,6
Metab__ksi_deg11,6
Metab__gt3_hs,6
Metab__5281909,6
Metab__cs_a_deg2,6
Metab__cs_e_deg3,6
Metab__439373,6
Metab__glygn3,6
Metab__121935,6
Metab__440717,6
Metab__cs_c_deg5,6
Metab__cs_e_deg7,6
Metab__5280895,6
Metab__ksi_deg9,6
Metab__ksi_deg12,6
Metab__ksi_deg15,6
Metab__ksi_deg18,6
Metab__ksi_deg21,6
Metab__ksi_deg24,6
Metab__ksi_deg27,6
Metab__ksi_deg30,6
Metab__ksi_deg33,6
Metab__ksi_deg36,6
Metab__ksii_core2_deg3,6
Metab__ksii_core2_deg6,6
Metab__ksii_core4_deg3,6
Metab__ksi_deg6,6
Metab__1001,6
Metab__11199982,6
Metab__cs_d_deg2,6
Metab__cs_d_deg6,6
Metab__hs_pre13,6
Metab__hs_pre14,6
Metab__ksii_core4_pre10,6
Metab__cs_c_pre3,6
Metab__cs_d_pre4,6
Metab__ksii_core2_pre10,6
Metab__HC10857,6
Metab__496,6
Metab__440624,6
Metab__66414,6
Metab__14181658,6
Metab__CE5868,6
Metab__CE5869,6
Metab__114683,6
Metab__147311,6
Metab__CE2567,6
Metab__CE5934,6
Metab__441253,6
Metab__15818,6
Metab__CE4811,6
Metab__CE4819,6
Metab__23724604,6
Metab__CE4833,6
Metab__CE4849,6
Metab__CE4832,6
Metab__CE4820,6
Metab__CE4841,6
Metab__CE4845,6
Metab__CE4850,6
Metab__CE4851,6
Metab__CE5160,6
Metab__CE4874,6
Metab__10236635,6
Metab__9966640,6
Metab__5283344,6
Metab__53481449,6
Metab__CE7097,6
Metab__5283125,6
Metab__5283048,6
Metab__hexdtrcoa,6
Metab__5eipencoa,6
Metab__5282922,6
Metab__omhdecacid,6
Metab__93131,6
Metab__leugly,6
Metab__29936,6
Metab__129846,6
Metab__2kmb,6
Metab__41635,6
Metab__123912,6
Metab__vanilpyr,6
Metab__vanillac,6
Metab__2m3hvac,6
Metab__2hydog,6
Metab__743,6
Metab__5283158,6
Metab__dopa4sf,6
Metab__clpn_hs,6
Metab__53481591,6
Metab__M00625,6
Metab__M00802,6
Metab__M00067,6
Metab__M00707,6
Metab__M00699,6
Metab__M00704,6
Metab__M00085,6
Metab__M00086,6
Metab__M00712,6
Metab__M00046,6
Metab__M00875,6
Metab__M00061,6
Metab__M00897,6
Metab__M00069,6
Metab__M00909,6
Metab__M00911,6
Metab__M00889,6
Metab__M00877,6
Metab__M00899,6
Metab__M03024,6
Metab__M00841,6
Metab__M00673,6
Metab__atvacylgluc,6
Metab__atvlacgluc,6
Metab__crvsm22,6
Metab__crvsm31,6
Metab__ptvstgluc,6
Metab__2amac,5
Metab__3hibutcoa,5
Metab__6723,5
Metab__fuc12gal14acglcgalgluside_hs,5
Metab__11966197,5
Metab__440996,5
Metab__15942888,5
Metab__10238,5
Metab__n2m2mn,5
Metab__5282347,5
Metab__gal14acglcgalgluside_hs,5
Metab__bvite,5
Metab__439254,5
Metab__53477827,5
Metab__440558,5
Metab__440103,5
Metab__ksi_deg1,5
Metab__193536,5
Metab__n2m2nmasn,5
Metab__123747,5
Metab__439871,5
Metab__189122,5
Metab__910,5
Metab__ksi_deg40,5
Metab__xser,5
Metab__glygn1,5
Metab__cs_c_deg2,5
Metab__hs_pre10,5
Metab__cs_e_pre2,5
Metab__m2emgacpail_hs,5
Metab__emem2gacpail_hs,5
Metab__pre_prot,5
Metab__21252287,5
Metab__439291,5
Metab__core6,5
Metab__ksi_deg7,5
Metab__ksi_deg13,5
Metab__ksi_deg16,5
Metab__ksi_deg19,5
Metab__ksi_deg22,5
Metab__ksi_deg25,5
Metab__ksi_deg28,5
Metab__ksi_deg34,5
Metab__cs_a_deg1,5
Metab__ksi_deg37,5
Metab__ksi_deg39,5
Metab__ksi_deg41,5
Metab__ksii_core2_deg4,5
Metab__ksii_core2_deg7,5
Metab__ksii_core2_deg9,5
Metab__ksii_core4_deg4,5
Metab__ha_deg1,5
Metab__cs_a_deg4,5
Metab__cs_d_deg1,5
Metab__cs_d_deg5,5
Metab__cs_e_deg2,5
Metab__cs_e_deg6,5
Metab__cs_a,5
Metab__cs_b,5
Metab__cs_c,5
Metab__cs_c_deg3,5
Metab__cs_d,5
Metab__cs_d_deg4,5
Metab__cs_e,5
Metab__cs_e_deg4,5
Metab__cs_b_pre5,5
Metab__cs_b_deg2,5
Metab__cs_b_pre4,5
Metab__cs_e_pre5a,5
Metab__670,5
Metab__HC01446,5
Metab__439544,5
Metab__5280625,5
Metab__11966216,5
Metab__11966160,5
Metab__HC10856,5
Metab__CE2873,5
Metab__67894139,5
Metab__CE2875,5
Metab__CE2874,5
Metab__CE5126,5
Metab__53481513,5
Metab__56927963,5
Metab__CE4838,5
Metab__CE6508,5
Metab__53481592,5
Metab__2decdicoa,5
Metab__3decdicoa,5
Metab__2dodtricoa,5
Metab__3dodtricoa,5
Metab__5tedtricoa,5
Metab__2hexdtricoa,5
Metab__4hexdtricoa,5
Metab__3hexdtricoa,5
Metab__2hexdtetcoa,5
Metab__4hexdtetcoa,5
Metab__3hexdtetcoa,5
Metab__2octdectecoa,5
Metab__3octdectecoa,5
Metab__2docopencoa,5
Metab__3docopencoa,5
Metab__53477848,5
Metab__bglc,5
Metab__gum,5
Metab__441476,5
Metab__psyl,5
Metab__3mtp,5
Metab__5460407,5
Metab__2879,5
Metab__4615423,5
Metab__440194,5
Metab__sucaceto,5
Metab__2m3ovac,5
Metab__3h3mglt,5
Metab__3mglutr,5
Metab__mvlac,5
Metab__5ohhexa,5
Metab__7ohocata,5
Metab__ethmalac,5
Metab__hexgly,5
Metab__methsucc,5
Metab__subgly,5
Metab__hpdececoa,5
Metab__101771,5
Metab__5cysgly34dhphe,5
Metab__M02977,5
Metab__M00742,5
Metab__M00615,5
Metab__M00743,5
Metab__M00780,5
Metab__M00795,5
Metab__M00804,5
Metab__M00806,5
Metab__M00792,5
Metab__M00782,5
Metab__M00797,5
Metab__M00170,5
Metab__M01872,5
Metab__M01870,5
Metab__3hlvstacid,5
Metab__3hsmvacid,5
Metab__6csmvacid,5
Metab__6hmsmvacid,5
Metab__6hsmvacid,5
Metab__am1a4ncs,5
Metab__am1c4n9cs,5
Metab__isolvstacid,5
Metab__s3meacmp,5
Metab__stacmp,5
Metab__tsacmsul,5
Metab__3snpyr,4
Metab__147899,4
Metab__4hbzcoa,4
Metab__fucgalacglcgal14acglcgalgluside_hs,4
Metab__440272,4
Metab__440962,4
Metab__5280796,4
Metab__n2m2nmn,4
Metab__5284270,4
Metab__5284271,4
Metab__868,4
Metab__apoC,4
Metab__apoC_Lys_btn,4
Metab__122356,4
Metab__aqcobal,4
Metab__acglcgalacglcgal14acglcgalgluside_hs,4
Metab__apoC_Lys,4
Metab__5326875,4
Metab__22298942,4
Metab__119405,4
Metab__599,4
Metab__439273,4
Metab__561,4
Metab__Asn_X_Ser_Thr,4
Metab__439418,4
Metab__45934311,4
Metab__6326776,4
Metab__glygn5,4
Metab__acngalacglcgalgluside_hs,4
Metab__gacpail_hs,4
Metab__ksii_core2_deg2,4
Metab__ksii_core4_deg2,4
Metab__ksi_deg5,4
Metab__lpro,4
Metab__cs_d_pre2,4
Metab__hs_pre3,4
Metab__hs_pre5,4
Metab__hs_pre7,4
Metab__l2xser,4
Metab__hs_pre2,4
Metab__hs_pre4,4
Metab__hs_pre6,4
Metab__hs_pre8,4
Metab__445995,4
Metab__m3gacpail_hs,4
Metab__gpi_hs,4
Metab__46224536,4
Metab__cs_a_deg5,4
Metab__53477723,4
Metab__mem2emgacpail_hs,4
Metab__5462214,4
Metab__ksi_deg10,4
Metab__ksi_deg31,4
Metab__cs_b_deg1,4
Metab__cs_c_deg1,4
Metab__cs_c_deg4,4
Metab__439400,4
Metab__9904001,4
Metab__439924,4
Metab__hs_deg11,4
Metab__cs_a_deg3,4
Metab__cs_e_deg1,4
Metab__cs_e_deg5,4
Metab__hs_pre12,4
Metab__acngalgbside_hs,4
Metab__5988,4
Metab__isomal,4
Metab__378,4
Metab__16048618,4
Metab__440867,4
Metab__48,4
Metab__439436,4
Metab__440117,4
Metab__440741,4
Metab__11966179,4
Metab__151438,4
Metab__HC02021,4
Metab__HC02022,4
Metab__644119,4
Metab__92819,4
Metab__HC02025,4
Metab__HC02026,4
Metab__HC02027,4
Metab__447123,4
Metab__HC02136,4
Metab__32051,4
Metab__19913541,4
Metab__79803,4
Metab__CE1935,4
Metab__CE2870,4
Metab__4424653,4
Metab__CE4722,4
Metab__CE2916,4
Metab__CE4723,4
Metab__53481538,4
Metab__CE4724,4
Metab__CE5101,4
Metab__439715,4
Metab__101543,4
Metab__23657850,4
Metab__100185,4
Metab__53481565,4
Metab__CE5021,4
Metab__24205,4
Metab__55189,4
Metab__216297,4
Metab__24341,4
Metab__13932711,4
Metab__CE7047,4
Metab__CE5118,4
Metab__CE4812,4
Metab__CE4810,4
Metab__CE4821,4
Metab__CE4817,4
Metab__CE4831,4
Metab__CE4840,4
Metab__CE4844,4
Metab__CE4846,4
Metab__CE4852,4
Metab__CE4848,4
Metab__CE4853,4
Metab__CE5161,4
Metab__CE5162,4
Metab__53481526,4
Metab__250388,4
Metab__145925,4
Metab__CE6506,4
Metab__CE6504,4
Metab__2266,4
Metab__CE7079,4
Metab__53936694,4
Metab__HC00004,4
Metab__CE1943,4
Metab__dec47dicoa,4
Metab__dectricoa,4
Metab__tmtrdcoa,4
Metab__hexdectecoa,4
Metab__hexdpencoa,4
Metab__eitetcoa,4
Metab__docohexcoa,4
Metab__octe5coa,4
Metab__aracheth,4
Metab__didecaeth,4
Metab__diholineth,4
Metab__docohxeth,4
Metab__docteteth,4
Metab__hepdeceth,4
Metab__hexdeceeth,4
Metab__lineth,4
Metab__magarachi_hs,4
Metab__maglinl_hs,4
Metab__magole_hs,4
Metab__magpalm_hs,4
Metab__magste_hs,4
Metab__oleth,4
Metab__pendecaeth,4
Metab__pmeth,4
Metab__steeth,4
Metab__tetdecaeth,4
Metab__trideceth,4
Metab__band,4
Metab__788,4
Metab__166760,4
Metab__idl_hs,4
Metab__ldl_hs,4
Metab__HC00006,4
Metab__HC00007,4
Metab__HC00008,4
Metab__HC00009,4
Metab__hdl_hs,4
Metab__M02491,4
Metab__M02012,4
Metab__M02013,4
Metab__M02195,4
Metab__M02490,4
Metab__M00961,4
Metab__M00957,4
Metab__M00963,4
Metab__M00959,4
Metab__M00962,4
Metab__M00958,4
Metab__M00964,4
Metab__M00960,4
Metab__M01077,4
Metab__M01080,4
Metab__M00606,4
Metab__M02760,4
Metab__M02761,4
Metab__M00603,4
Metab__M00285,4
Metab__M00071,4
Metab__M00056,4
Metab__M00048,4
Metab__M01498,4
Metab__M01510,4
Metab__M01501,4
Metab__M01487,4
Metab__M01479,4
Metab__M01470,4
Metab__M01506,4
Metab__M01477,4
Metab__M01495,4
Metab__M01454,4
Metab__M01485,4
Metab__M01464,4
Metab__M01489,4
Metab__M01486,4
Metab__M01474,4
Metab__M01502,4
Metab__M01492,4
Metab__M01463,4
Metab__M01458,4
Metab__M01484,4
Metab__M01481,4
Metab__M01469,4
Metab__M01494,4
Metab__M01491,4
Metab__M01462,4
Metab__M01457,4
Metab__M01509,4
Metab__M01508,4
Metab__M01465,4
Metab__M01496,4
Metab__M01497,4
Metab__M01473,4
Metab__M01480,4
Metab__M01468,4
Metab__M01475,4
Metab__M01482,4
Metab__M01471,4
Metab__M01466,4
Metab__M01455,4
Metab__M01460,4
Metab__M01490,4
Metab__M01476,4
Metab__M01483,4
Metab__M01472,4
Metab__M01467,4
Metab__M01456,4
Metab__M01461,4
Metab__M01871,4
Metab__M01389,4
Metab__dolichol_L,4
Metab__atvethgluc,4
Metab__cvm1gluc,4
Metab__cvm23gluc,4
Metab__simvgluc,4
Metab__3dphb,3
Metab__440851,3
Metab__21918217,3
Metab__447145,3
Metab__161500,3
Metab__165388,3
Metab__amuco,3
Metab__440033,3
Metab__memgacpail_hs,3
Metab__cbl2,3
Metab__2dp6mep,3
Metab__3dpdhb,3
Metab__dhor_S,3
Metab__dmhptcoa,3
Metab__1glyc_hs,3
Metab__6101730,3
Metab__5280398,3
Metab__l2n2m2mn,3
Metab__160913,3
Metab__130805,3
Metab__24906333,3
Metab__alpro,3
Metab__dhlpro,3
Metab__439446,3
Metab__hs_pre1,3
Metab__hs_deg24,3
Metab__mgacpail_hs,3
Metab__m2gacpail_hs,3
Metab__hs_deg1,3
Metab__hs_deg6,3
Metab__hs_deg12,3
Metab__hs_deg18,3
Metab__1053,3
Metab__807,3
Metab__472,3
Metab__m3emgacpail_hs,3
Metab__5280393,3
Metab__174549,3
Metab__638129,3
Metab__440211,3
Metab__91531,3
Metab__5280673,3
Metab__cs_d_pre5,3
Metab__hs_deg10,3
Metab__hs_deg17,3
Metab__hs_deg23,3
Metab__cs_e_pre5b,3
Metab__ksi_deg4,3
Metab__hs,3
Metab__ksii_core2_deg1,3
Metab__ksii_core4_deg1,3
Metab__hs_deg5,3
Metab__128973,3
Metab__gq1c_hs,3
Metab__5283713,3
Metab__22833661,3
Metab__440653,3
Metab__HC01441,3
Metab__HC02161,3
Metab__101399,3
Metab__1076,3
Metab__70949,3
Metab__24478,3
Metab__CE0233,3
Metab__440560,3
Metab__CE6252,3
Metab__CE5986,3
Metab__321,3
Metab__CE4835,3
Metab__12dgr120,3
